cell	frip
mSp_rep11_145	0.736745
mSp_rep11_146	0.738943
mSp_rep11_147	0.751766
mSp_rep11_148	0.760297
mSp_rep11_149	0.713139
mSp_rep11_150	0.732363
mSp_rep11_151	0.723089
mSp_rep11_152	0.729715
mSp_rep11_153	0.674570
mSp_rep11_154	0.709886
mSp_rep11_155	0.753962
mSp_rep11_156	0.717728
mSp_rep11_157	0.747359
mSp_rep11_158	0.706941
mSp_rep11_159	0.767539
mSp_rep11_160	0.696434
mSp_rep11_161	0.671129
mSp_rep11_162	0.744519
mSp_rep11_163	0.733438
mSp_rep11_164	0.734983
mSp_rep11_165	0.732188
mSp_rep11_166	0.749498
mSp_rep11_167	0.736120
mSp_rep11_168	0.712999
mSp_rep11_169	0.725055
mSp_rep11_170	0.767867
mSp_rep11_171	0.681675
mSp_rep11_172	0.729697
mSp_rep11_173	0.734486
mSp_rep11_174	0.743442
mSp_rep11_175	0.705007
mSp_rep11_176	0.661546
mSp_rep11_177	0.735286
mSp_rep11_178	0.695144
mSp_rep11_179	0.717193
mSp_rep11_180	0.752797
mSp_rep11_181	0.734182
mSp_rep11_182	0.727218
mSp_rep11_183	0.702224
mSp_rep11_184	0.732815
mSp_rep11_185	0.730371
mSp_rep11_186	0.711623
mSp_rep11_187	0.734514
mSp_rep11_188	0.766833
mSp_rep11_189	0.720929
mSp_rep11_190	0.673876
mSp_rep11_191	0.724515
mSp_rep11_192	0.732987
mSp_rep11_193	0.741951
mSp_rep11_194	0.708326
mSp_rep11_195	0.728038
mSp_rep11_196	0.733303
mSp_rep11_197	0.770944
mSp_rep11_198	0.696031
mSp_rep11_199	0.744646
mSp_rep11_200	0.725710
mSp_rep11_201	0.733244
mSp_rep11_202	0.743215
mSp_rep11_203	0.760873
mSp_rep11_204	0.738463
mSp_rep11_205	0.760395
mSp_rep11_206	0.648567
mSp_rep11_207	0.728682
mSp_rep11_208	0.770695
mSp_rep11_209	0.724476
mSp_rep11_210	0.731804
mSp_rep11_211	0.741926
mSp_rep11_212	0.774815
mSp_rep11_213	0.775502
mSp_rep11_214	0.728128
mSp_rep11_215	0.742770
mSp_rep11_216	0.749162
mSp_rep11_217	0.711147
mSp_rep11_218	0.728390
mSp_rep11_219	0.666074
mSp_rep11_220	0.724433
mSp_rep11_221	0.738357
mSp_rep11_222	0.712121
mSp_rep11_223	0.729379
mSp_rep11_224	0.754355
mSp_rep11_225	0.628812
mSp_rep11_226	0.699633
mSp_rep11_227	0.725462
mSp_rep11_228	0.732926
mSp_rep11_229	0.742618
mSp_rep11_230	0.652139
mSp_rep11_231	0.727759
mSp_rep11_232	0.754149
mSp_rep11_233	0.691431
mSp_rep11_234	0.738687
mSp_rep11_235	0.752804
mSp_rep11_236	0.738610
mSp_rep11_237	0.709799
mSp_rep11_238	0.751171
mSp_rep11_239	0.776902
mSp_rep11_240	0.745574
mSp_rep11_241	0.745468
mSp_rep11_242	0.715740
mSp_rep11_243	0.484567
mSp_rep11_244	0.770646
mSp_rep11_245	0.760445
mSp_rep11_246	0.667124
mSp_rep11_247	0.740926
mSp_rep11_248	0.701034
mSp_rep11_249	0.751897
mSp_rep11_250	0.727833
mSp_rep11_251	0.761365
mSp_rep11_252	0.735823
mSp_rep11_253	0.770605
mSp_rep11_254	0.658695
mSp_rep11_255	0.733468
mSp_rep11_256	0.685578
mSp_rep11_257	0.736400
mSp_rep11_258	0.733805
mSp_rep11_259	0.730982
mSp_rep11_260	0.767223
mSp_rep11_261	0.748953
mSp_rep11_262	0.654141
mSp_rep11_263	0.741737
mSp_rep11_264	0.706363
mSp_rep11_265	0.725126
mSp_rep11_266	0.745433
mSp_rep11_267	0.742735
mSp_rep11_268	0.732839
mSp_rep11_269	0.682904
mSp_rep11_270	0.744329
mSp_rep11_271	0.763801
mSp_rep11_272	0.770181
mSp_rep11_273	0.747119
mSp_rep11_274	0.743833
mSp_rep11_275	0.777443
mSp_rep11_276	0.696102
mSp_rep11_277	0.742573
mSp_rep11_278	0.705870
mSp_rep11_279	0.742316
mSp_rep11_280	0.719507
mSp_rep11_281	0.723346
mSp_rep11_282	0.729182
mSp_rep11_283	0.726176
mSp_rep11_284	0.630354
mSp_rep11_285	0.738051
mSp_rep11_286	0.742439
mSp_rep11_287	0.706847
mSp_rep11_288	0.751968
mSp_rep11_289	0.719129
mSp_rep11_290	0.714680
mSp_rep11_291	0.733215
mSp_rep11_292	0.734941
mSp_rep11_293	0.760347
mSp_rep11_294	0.737127
mSp_rep11_295	0.651853
mSp_rep11_296	0.732679
mSp_rep11_297	0.708692
mSp_rep11_298	0.785729
mSp_rep11_299	0.689864
mSp_rep11_300	0.772350
mSp_rep11_301	0.753876
mSp_rep11_302	0.730480
mSp_rep11_303	0.712824
mSp_rep11_304	0.729097
mSp_rep11_305	0.719776
mSp_rep11_306	0.757869
mSp_rep11_307	0.794087
mSp_rep11_308	0.714105
mSp_rep11_309	0.715197
mSp_rep11_310	0.731577
mSp_rep11_311	0.669857
mSp_rep11_312	0.645018
mSp_rep11_313	0.693571
mSp_rep11_314	0.632873
mSp_rep11_315	0.762135
mSp_rep11_316	0.733377
mSp_rep11_317	0.764152
mSp_rep11_318	0.690502
mSp_rep11_319	0.691319
mSp_rep11_320	0.725344
mSp_rep11_321	0.737217
mSp_rep11_322	0.713744
mSp_rep11_323	0.727943
mSp_rep11_324	0.754715
mSp_rep11_325	0.766906
mSp_rep11_326	0.723713
mSp_rep11_327	0.695613
mSp_rep11_328	0.650172
mSp_rep11_329	0.756398
mSp_rep11_330	0.653728
mSp_rep11_331	0.756427
mSp_rep11_332	0.735453
mSp_rep11_333	0.742228
mSp_rep11_334	0.735767
mSp_rep11_335	0.757822
mSp_rep11_336	0.713928
mSp_rep11_337	0.749848
mSp_rep11_338	0.564726
mSp_rep11_339	0.738642
mSp_rep11_340	0.731097
mSp_rep11_341	0.692791
mSp_rep11_342	0.739820
mSp_rep11_343	0.712540
mSp_rep11_344	0.605187
mSp_rep11_345	0.740570
mSp_rep11_346	0.758224
mSp_rep11_347	0.659361
mSp_rep11_348	0.629329
mSp_rep11_349	0.743149
mSp_rep11_350	0.726545
mSp_rep11_351	0.771637
mSp_rep11_352	0.730300
mSp_rep11_353	0.745003
mSp_rep11_354	0.777172
mSp_rep11_355	0.698449
mSp_rep11_356	0.679435
mSp_rep11_357	0.715324
mSp_rep11_358	0.734280
mSp_rep11_359	0.740657
mSp_rep11_360	0.730784
mSp_rep11_361	0.733791
mSp_rep11_362	0.696115
mSp_rep11_363	0.744696
mSp_rep11_364	0.724712
mSp_rep11_365	0.713190
mSp_rep11_366	0.677424
mSp_rep11_367	0.736653
mSp_rep11_368	0.715819
mSp_rep11_369	0.730463
mSp_rep11_370	0.710775
