cell	frac_open
mCPC_E8.5_317	0.268501
mCPC_E8.5_318	0.269559
mCPC_E8.5_319	0.263522
mCPC_E8.5_320	0.254951
mCPC_E8.5_321	0.330105
mCPC_E8.5_322	0.257656
mCPC_E8.5_323	0.252643
mCPC_E8.5_324	0.191733
mCPC_E8.5_325	0.297524
mCPC_E8.5_326	0.306346
mCPC_E8.5_327	0.283621
mCPC_E8.5_328	0.200157
mCPC_E8.5_329	0.193950
mCPC_E8.5_330	0.238967
mCPC_E8.5_331	0.290624
mCPC_E8.5_332	0.207251
mCPC_E8.5_333	0.333254
mCPC_E8.5_334	0.270946
mCPC_E8.5_335	0.319794
mCPC_E8.5_336	0.205488
mCPC_E8.5_337	0.308653
mCPC_E8.5_338	0.219710
mCPC_E8.5_339	0.216584
mCPC_E8.5_340	0.320851
mCPC_E8.5_341	0.270923
mCPC_E8.5_342	0.198361
mCPC_E8.5_343	0.210365
mCPC_E8.5_344	0.345338
mCPC_E8.5_345	0.283791
mCPC_E8.5_346	0.001933
mCPC_E8.5_347	0.306107
mCPC_E8.5_348	0.149740
mCPC_E8.5_349	0.294477
mCPC_E8.5_350	0.286599
mCPC_E8.5_351	0.295671
mCPC_E8.5_352	0.242867
mCPC_E8.5_353	0.311768
mCPC_E8.5_354	0.218459
mCPC_E8.5_355	0.002740
mCPC_E8.5_356	0.261158
mCPC_E8.5_357	0.297751
mCPC_E8.5_358	0.224678
mCPC_E8.5_359	0.283439
mCPC_E8.5_360	0.216641
mCPC_E8.5_361	0.299593
mCPC_E8.5_362	0.252563
mCPC_E8.5_363	0.293829
mCPC_E8.5_364	0.001717
mCPC_E8.5_365	0.205534
mCPC_E8.5_366	0.260135
mCPC_E8.5_367	0.234022
mCPC_E8.5_368	0.257929
mCPC_E8.5_369	0.296023
mCPC_E8.5_370	0.259214
mCPC_E8.5_371	0.209717
mCPC_E8.5_372	0.001921
mCPC_E8.5_373	0.310813
mCPC_E8.5_374	0.326069
mCPC_E8.5_375	0.327808
mCPC_E8.5_376	0.240036
mCPC_E8.5_377	0.286213
mCPC_E8.5_378	0.267183
mCPC_E8.5_379	0.237444
mCPC_E8.5_380	0.204522
mCPC_E8.5_381	0.218118
mCPC_E8.5_382	0.195803
mCPC_E8.5_383	0.261158
mCPC_E8.5_384	0.001864
