cell	mapping_rate
mCPC_E8.5_322	97.17
mCPC_E8.5_323	97.62
mCPC_E8.5_324	96.67
mCPC_E8.5_325	97.27
mCPC_E8.5_326	97.01
mCPC_E8.5_327	97.28
mCPC_E8.5_328	93.48
mCPC_E8.5_329	97.02
mCPC_E8.5_330	97.74
mCPC_E8.5_331	97.69
mCPC_E8.5_332	96.93
mCPC_E8.5_333	97.75
mCPC_E8.5_334	97.61
mCPC_E8.5_335	97.12
mCPC_E8.5_336	96.57
mCPC_E8.5_337	97.35
mCPC_E8.5_338	97.13
mCPC_E8.5_339	96.55
mCPC_E8.5_340	95.26
mCPC_E8.5_341	97.47
mCPC_E8.5_342	97.19
mCPC_E8.5_343	96.58
mCPC_E8.5_344	97.15
mCPC_E8.5_345	95.91
mCPC_E8.5_346	79.86
mCPC_E8.5_347	97.28
mCPC_E8.5_348	97.46
mCPC_E8.5_349	97.23
mCPC_E8.5_350	97.43
mCPC_E8.5_351	97.26
mCPC_E8.5_352	96.92
mCPC_E8.5_353	97.39
mCPC_E8.5_354	96.88
mCPC_E8.5_355	80.83
mCPC_E8.5_356	96.88
mCPC_E8.5_357	97.04
mCPC_E8.5_358	97.69
mCPC_E8.5_359	96.96
mCPC_E8.5_360	97.13
mCPC_E8.5_361	96.87
mCPC_E8.5_362	97.06
mCPC_E8.5_363	96.96
mCPC_E8.5_364	73.05
mCPC_E8.5_365	97.78
mCPC_E8.5_366	97.15
mCPC_E8.5_367	96.83
mCPC_E8.5_368	97.19
mCPC_E8.5_369	97.07
mCPC_E8.5_370	97.54
mCPC_E8.5_371	97.71
mCPC_E8.5_372	77.63
mCPC_E8.5_373	97.26
mCPC_E8.5_374	97.14
mCPC_E8.5_375	97.46
mCPC_E8.5_376	96.93
mCPC_E8.5_377	97.58
mCPC_E8.5_378	97.75
mCPC_E8.5_379	97.19
mCPC_E8.5_380	96.96
mCPC_E8.5_381	97.11
mCPC_E8.5_382	97.33
mCPC_E8.5_383	97.25
mCPC_E8.5_384	77.19
