cell	library_size
mCPC_E8.5_343	68752
mCPC_E8.5_344	168474
mCPC_E8.5_345	148709
mCPC_E8.5_346	
mCPC_E8.5_347	121711
mCPC_E8.5_348	43094
mCPC_E8.5_349	114530
mCPC_E8.5_350	122127
mCPC_E8.5_351	132270
mCPC_E8.5_352	121398
mCPC_E8.5_353	153218
mCPC_E8.5_354	129237
mCPC_E8.5_355	135026
mCPC_E8.5_356	99062
mCPC_E8.5_357	125448
mCPC_E8.5_358	86098
mCPC_E8.5_359	117768
mCPC_E8.5_360	82418
mCPC_E8.5_361	134307
mCPC_E8.5_362	105664
mCPC_E8.5_363	124111
mCPC_E8.5_364	51093
mCPC_E8.5_365	76824
mCPC_E8.5_366	106074
mCPC_E8.5_367	94146
mCPC_E8.5_368	100460
mCPC_E8.5_369	122585
mCPC_E8.5_370	111819
mCPC_E8.5_371	80372
mCPC_E8.5_372	23813
mCPC_E8.5_373	136671
mCPC_E8.5_374	156498
mCPC_E8.5_375	139563
mCPC_E8.5_376	99076
mCPC_E8.5_377	117139
mCPC_E8.5_378	101990
mCPC_E8.5_379	91108
mCPC_E8.5_380	73279
mCPC_E8.5_381	89436
mCPC_E8.5_382	66571
mCPC_E8.5_383	104119
mCPC_E8.5_384	19722
