cell	frip
mCPC_E9.5_253	0.509452
mCPC_E9.5_254	0.703169
mCPC_E9.5_255	0.533704
mCPC_E9.5_256	0.586311
mCPC_E9.5_257	0.470315
mCPC_E9.5_258	0.543863
mCPC_E9.5_259	0.558928
mCPC_E9.5_260	0.540740
mCPC_E9.5_261	0.559993
mCPC_E9.5_262	0.612507
mCPC_E9.5_263	0.556858
mCPC_E9.5_264	0.532434
mCPC_E9.5_265	0.510092
mCPC_E9.5_266	0.498064
mCPC_E9.5_267	0.458497
mCPC_E9.5_268	0.460868
mCPC_E9.5_269	0.556299
mCPC_E9.5_270	0.516350
mCPC_E9.5_271	0.519361
mCPC_E9.5_272	0.537441
mCPC_E9.5_273	0.516787
mCPC_E9.5_274	0.542419
mCPC_E9.5_275	0.546438
mCPC_E9.5_276	0.514138
mCPC_E9.5_277	0.522546
mCPC_E9.5_278	0.508562
mCPC_E9.5_279	0.496540
mCPC_E9.5_280	0.592487
mCPC_E9.5_281	0.467037
mCPC_E9.5_282	0.116633
mCPC_E9.5_283	0.487992
mCPC_E9.5_284	0.506919
mCPC_E9.5_285	0.505196
mCPC_E9.5_286	0.554490
mCPC_E9.5_287	0.483803
mCPC_E9.5_288	0.598446
mCPC_E9.5_289	0.624016
mCPC_E9.5_290	0.555681
mCPC_E9.5_291	0.551202
mCPC_E9.5_292	0.546436
mCPC_E9.5_293	0.594364
mCPC_E9.5_294	0.517055
mCPC_E9.5_295	0.579644
mCPC_E9.5_296	0.498866
mCPC_E9.5_297	0.520052
mCPC_E9.5_298	0.600119
mCPC_E9.5_299	0.535820
mCPC_E9.5_300	0.540991
mCPC_E9.5_301	0.526938
mCPC_E9.5_302	0.573298
mCPC_E9.5_303	0.480099
mCPC_E9.5_304	0.504520
mCPC_E9.5_305	0.527363
mCPC_E9.5_306	0.547815
mCPC_E9.5_307	0.598761
mCPC_E9.5_308	0.482126
mCPC_E9.5_309	0.481798
mCPC_E9.5_310	0.529961
mCPC_E9.5_311	0.465271
mCPC_E9.5_312	0.517478
mCPC_E9.5_313	0.546962
mCPC_E9.5_314	0.631316
mCPC_E9.5_315	0.564430
mCPC_E9.5_316	0.555136
mCPC_E9.5_317	0.467123
mCPC_E9.5_318	0.467759
mCPC_E9.5_319	0.526070
mCPC_E9.5_320	0.463644
mCPC_E9.5_321	0.535246
mCPC_E9.5_322	0.553544
mCPC_E9.5_323	0.451953
mCPC_E9.5_324	0.510336
mCPC_E9.5_325	0.524015
mCPC_E9.5_326	0.490968
mCPC_E9.5_327	0.558560
mCPC_E9.5_328	0.591912
mCPC_E9.5_329	0.491322
mCPC_E9.5_330	0.514769
mCPC_E9.5_331	0.533560
mCPC_E9.5_332	0.554193
mCPC_E9.5_333	0.493775
mCPC_E9.5_334	0.507962
mCPC_E9.5_335	0.508323
mCPC_E9.5_336	0.525702
mCPC_E9.5_337	0.555698
mCPC_E9.5_338	0.443355
mCPC_E9.5_339	0.488330
mCPC_E9.5_340	0.521085
mCPC_E9.5_341	0.585861
mCPC_E9.5_342	0.562944
mCPC_E9.5_343	0.565218
mCPC_E9.5_344	0.559568
mCPC_E9.5_345	0.507076
mCPC_E9.5_346	0.604904
mCPC_E9.5_347	0.518343
mCPC_E9.5_348	0.575463
mCPC_E9.5_349	0.470880
mCPC_E9.5_350	0.480896
mCPC_E9.5_351	0.515454
mCPC_E9.5_352	0.449103
mCPC_E9.5_353	0.518461
mCPC_E9.5_354	0.515390
mCPC_E9.5_355	0.510261
mCPC_E9.5_356	0.542843
mCPC_E9.5_357	0.557644
mCPC_E9.5_358	0.608874
mCPC_E9.5_359	0.559855
mCPC_E9.5_360	0.562247
mCPC_E9.5_361	0.455534
mCPC_E9.5_362	0.457858
mCPC_E9.5_363	0.499139
mCPC_E9.5_364	0.574904
mCPC_E9.5_365	0.519415
mCPC_E9.5_366	0.645789
mCPC_E9.5_367	0.545399
mCPC_E9.5_368	0.657928
mCPC_E9.5_369	0.660766
mCPC_E9.5_370	0.439481
mCPC_E9.5_371	0.514883
mCPC_E9.5_372	0.447937
mCPC_E9.5_373	0.516994
mCPC_E9.5_374	0.502966
mCPC_E9.5_375	0.479516
mCPC_E9.5_376	0.471898
mCPC_E9.5_377	0.555786
mCPC_E9.5_378	0.531126
mCPC_E9.5_379	0.544169
mCPC_E9.5_380	0.589750
mCPC_E9.5_381	0.561355
mCPC_E9.5_382	0.469748
mCPC_E9.5_383	0.586219
mCPC_E9.5_384	0.663507
