cell	sequencing_depth
human_skin_fibr_314	545954
human_skin_fibr_315	73022
human_skin_fibr_316	442322
human_skin_fibr_317	588440
human_skin_fibr_318	477375
human_skin_fibr_319	687610
human_skin_fibr_320	533378
human_skin_fibr_321	571683
human_skin_fibr_322	688886
human_skin_fibr_323	385124
human_skin_fibr_324	1173882
human_skin_fibr_325	658812
human_skin_fibr_326	471353
human_skin_fibr_327	497478
human_skin_fibr_328	421045
human_skin_fibr_329	413056
human_skin_fibr_330	267339
human_skin_fibr_331	806594
human_skin_fibr_332	523597
human_skin_fibr_333	645835
human_skin_fibr_334	382037
human_skin_fibr_335	345380
human_skin_fibr_336	654629
human_skin_fibr_337	403733
human_skin_fibr_338	434760
human_skin_fibr_339	739114
human_skin_fibr_340	2456702
human_skin_fibr_341	482673
human_skin_fibr_342	51962
human_skin_fibr_343	425594
human_skin_fibr_344	402057
human_skin_fibr_345	647051
human_skin_fibr_346	593668
human_skin_fibr_347	819166
human_skin_fibr_348	791098
human_skin_fibr_349	717431
human_skin_fibr_350	797145
human_skin_fibr_351	255601
human_skin_fibr_352	191237
human_skin_fibr_353	195256
human_skin_fibr_354	362989
human_skin_fibr_355	755435
human_skin_fibr_356	420725
human_skin_fibr_357	972707
human_skin_fibr_358	232
human_skin_fibr_359	237424
human_skin_fibr_360	968433
human_skin_fibr_361	729298
human_skin_fibr_362	680633
human_skin_fibr_363	245256
human_skin_fibr_364	702127
human_skin_fibr_365	555357
human_skin_fibr_366	339377
human_skin_fibr_367	681764
human_skin_fibr_368	188811
human_skin_fibr_369	465440
human_skin_fibr_370	275079
human_skin_fibr_371	1736982
human_skin_fibr_372	346247
human_skin_fibr_373	233937
human_skin_fibr_374	670956
human_skin_fibr_375	413447
human_skin_fibr_376	657595
human_skin_fibr_377	428060
human_skin_fibr_378	1113956
human_skin_fibr_379	575467
human_skin_fibr_380	540415
human_skin_fibr_381	1592252
human_skin_fibr_382	260152
human_skin_fibr_383	369268
human_skin_fibr_384	228
