cell	frip
mSp_rep3_220	0.705160
mSp_rep3_221	0.786042
mSp_rep3_222	0.694861
mSp_rep3_223	0.262439
mSp_rep3_224	0.751806
mSp_rep3_225	0.592358
mSp_rep3_226	0.709917
mSp_rep3_227	0.737960
mSp_rep3_228	0.763481
mSp_rep3_229	0.603109
mSp_rep3_230	0.598717
mSp_rep3_231	0.667748
mSp_rep3_232	0.627186
mSp_rep3_233	0.571212
mSp_rep3_234	0.744375
mSp_rep3_235	0.759218
mSp_rep3_236	0.710117
mSp_rep3_237	0.756891
mSp_rep3_238	0.750881
mSp_rep3_239	0.765191
mSp_rep3_240	0.600087
mSp_rep3_241	0.671394
mSp_rep3_242	0.690410
mSp_rep3_243	0.719338
mSp_rep3_244	0.734959
mSp_rep3_245	0.812215
mSp_rep3_246	0.517729
mSp_rep3_247	0.609443
mSp_rep3_248	0.730274
mSp_rep3_249	0.564950
mSp_rep3_250	0.518877
mSp_rep3_251	0.716762
mSp_rep3_252	0.699016
mSp_rep3_253	0.728229
mSp_rep3_254	0.547942
mSp_rep3_255	0.496958
mSp_rep3_256	0.693750
mSp_rep3_257	0.714730
mSp_rep3_258	0.752303
mSp_rep3_259	0.723771
mSp_rep3_260	0.783094
mSp_rep3_261	0.776924
mSp_rep3_262	0.462620
mSp_rep3_263	0.691166
mSp_rep3_264	0.698935
mSp_rep3_265	0.828798
mSp_rep3_266	0.716677
mSp_rep3_267	0.722155
mSp_rep3_268	0.753682
mSp_rep3_269	0.695167
mSp_rep3_270	0.654545
mSp_rep3_271	0.693001
mSp_rep3_272	0.778428
mSp_rep3_273	0.713624
mSp_rep3_274	0.695530
mSp_rep3_275	0.731502
mSp_rep3_276	0.709007
mSp_rep3_277	0.725649
mSp_rep3_278	0.754289
mSp_rep3_279	0.667529
mSp_rep3_280	0.736391
mSp_rep3_281	0.748766
mSp_rep3_282	0.753280
mSp_rep3_283	0.803785
mSp_rep3_284	0.684816
mSp_rep3_285	0.701877
mSp_rep3_286	0.741708
mSp_rep3_287	0.711735
mSp_rep3_288	0.591028
mSp_rep3_289	0.759171
mSp_rep3_290	0.658375
mSp_rep3_291	0.735935
mSp_rep3_292	0.596866
mSp_rep3_293	0.693003
mSp_rep3_294	0.751897
mSp_rep3_295	0.681449
mSp_rep3_296	0.722125
mSp_rep3_297	0.692907
mSp_rep3_298	0.728613
mSp_rep3_299	0.699680
mSp_rep3_300	0.674217
mSp_rep3_301	0.640739
mSp_rep3_302	0.733400
mSp_rep3_303	0.770737
mSp_rep3_304	0.778470
mSp_rep3_305	0.795794
mSp_rep3_306	0.653638
mSp_rep3_307	0.735432
mSp_rep3_308	0.748415
mSp_rep3_309	0.732166
mSp_rep3_310	0.771920
mSp_rep3_311	0.781657
mSp_rep3_312	0.503583
mSp_rep3_313	0.756477
mSp_rep3_314	0.744089
mSp_rep3_315	0.655705
mSp_rep3_316	0.732034
mSp_rep3_317	0.626004
mSp_rep3_318	0.599414
mSp_rep3_319	0.748579
mSp_rep3_320	0.693337
mSp_rep3_321	0.720569
mSp_rep3_322	0.764373
mSp_rep3_323	0.682559
mSp_rep3_324	0.692615
mSp_rep3_325	0.774762
mSp_rep3_326	0.781971
mSp_rep3_327	0.697050
mSp_rep3_328	0.720923
