cell	mapping_rate
mSp_rep2_009	97.70
mSp_rep2_010	97.54
mSp_rep2_011	96.71
mSp_rep2_012	97.30
mSp_rep2_013	95.18
mSp_rep2_014	97.28
mSp_rep2_015	97.46
mSp_rep2_016	97.39
mSp_rep2_017	96.95
mSp_rep2_018	97.20
mSp_rep2_019	97.04
mSp_rep2_020	96.82
mSp_rep2_021	97.40
mSp_rep2_022	97.55
mSp_rep2_023	95.69
mSp_rep2_024	95.92
mSp_rep2_025	97.14
mSp_rep2_026	97.41
mSp_rep2_027	96.83
mSp_rep2_028	96.61
mSp_rep2_029	96.55
mSp_rep2_030	98.69
mSp_rep2_031	94.15
mSp_rep2_032	96.97
mSp_rep2_033	97.01
mSp_rep2_034	97.43
mSp_rep2_035	97.47
mSp_rep2_036	97.39
mSp_rep2_037	97.33
mSp_rep2_038	96.85
mSp_rep2_039	96.59
mSp_rep2_040	96.62
mSp_rep2_041	97.21
mSp_rep2_042	97.56
mSp_rep2_043	97.39
mSp_rep2_044	97.68
mSp_rep2_045	94.55
mSp_rep2_046	97.34
mSp_rep2_047	97.52
mSp_rep2_048	95.33
mSp_rep2_049	96.31
mSp_rep2_050	96.49
mSp_rep2_051	97.44
mSp_rep2_052	77.64
mSp_rep2_053	96.99
mSp_rep2_054	97.41
mSp_rep2_055	97.24
mSp_rep2_056	97.64
mSp_rep2_057	96.91
mSp_rep2_058	97.21
mSp_rep2_059	97.60
mSp_rep2_060	97.78
mSp_rep2_061	97.63
mSp_rep2_062	97.98
mSp_rep2_063	97.23
mSp_rep2_064	97.24
mSp_rep2_065	97.87
mSp_rep2_066	96.70
mSp_rep2_067	97.49
mSp_rep2_068	97.18
mSp_rep2_069	97.13
mSp_rep2_070	97.20
mSp_rep2_071	97.29
mSp_rep2_072	97.24
mSp_rep2_073	97.12
mSp_rep2_074	96.69
mSp_rep2_075	95.97
mSp_rep2_076	97.50
mSp_rep2_077	97.68
mSp_rep2_078	97.08
mSp_rep2_079	96.63
mSp_rep2_080	96.96
mSp_rep2_081	95.90
mSp_rep2_082	97.17
mSp_rep2_083	96.95
mSp_rep2_084	97.10
mSp_rep2_085	96.98
mSp_rep2_086	97.23
mSp_rep2_087	97.31
mSp_rep2_088	96.82
mSp_rep2_089	97.40
mSp_rep2_090	97.33
mSp_rep2_091	97.46
mSp_rep2_092	97.22
mSp_rep2_093	97.93
mSp_rep2_094	96.57
mSp_rep2_095	97.67
mSp_rep2_096	57.04
mSp_rep3_001	96.90
mSp_rep3_002	97.47
mSp_rep3_003	96.89
mSp_rep3_004	97.34
mSp_rep3_005	97.27
mSp_rep3_006	97.09
mSp_rep3_007	97.42
mSp_rep3_008	97.07
mSp_rep3_009	96.94
mSp_rep3_010	96.57
mSp_rep3_011	97.32
mSp_rep3_012	97.87
mSp_rep3_013	97.08
mSp_rep3_014	97.52
mSp_rep3_015	94.73
mSp_rep3_016	97.68
mSp_rep3_017	97.32
mSp_rep3_018	97.24
mSp_rep3_019	97.59
mSp_rep3_020	97.49
mSp_rep3_021	98.06
mSp_rep3_022	96.61
mSp_rep3_023	97.12
mSp_rep3_024	97.15
mSp_rep3_025	96.38
mSp_rep3_026	97.55
mSp_rep3_027	97.38
mSp_rep3_028	97.29
mSp_rep3_029	97.64
mSp_rep3_030	97.12
mSp_rep3_031	97.21
mSp_rep3_032	96.83
mSp_rep3_033	93.31
mSp_rep3_034	97.11
mSp_rep3_035	97.39
mSp_rep3_036	97.68
mSp_rep3_037	97.32
mSp_rep3_038	95.53
mSp_rep3_039	96.74
mSp_rep3_040	99.09
mSp_rep3_041	97.79
mSp_rep3_042	97.97
mSp_rep3_043	95.72
mSp_rep3_044	97.33
mSp_rep3_045	97.76
mSp_rep3_046	97.36
mSp_rep3_047	97.58
mSp_rep3_048	96.85
mSp_rep3_049	96.73
mSp_rep3_050	97.44
mSp_rep3_051	96.92
