cell	library_size
mSp_rep11_383	36928
mSp_rep11_384	11177
mSp_rep1_001	35022
mSp_rep1_002	26557
mSp_rep1_003	19010
mSp_rep1_004	10523
mSp_rep1_005	39156
mSp_rep1_006	27396
mSp_rep1_007	30657
mSp_rep1_008	27975
mSp_rep1_009	21655
mSp_rep1_010	23777
mSp_rep1_011	24203
mSp_rep1_012	22631
mSp_rep1_013	9243
mSp_rep1_014	26809
mSp_rep1_015	27734
mSp_rep1_016	38386
mSp_rep1_017	17427
mSp_rep1_018	50544
mSp_rep1_019	23342
mSp_rep1_020	26738
mSp_rep1_021	14576
mSp_rep1_022	40057
mSp_rep1_023	26406
mSp_rep1_024	18003
mSp_rep1_025	317
mSp_rep1_026	28631
mSp_rep1_027	27166
mSp_rep1_028	36586
mSp_rep1_029	26193
mSp_rep1_030	20681
mSp_rep1_031	21847
mSp_rep1_032	33927
mSp_rep1_033	26561
mSp_rep1_034	28557
mSp_rep1_035	31235
mSp_rep1_036	27833
mSp_rep1_037	24049
mSp_rep1_038	2488
mSp_rep1_039	32849
mSp_rep1_040	10780
mSp_rep1_041	26147
mSp_rep1_042	28222
mSp_rep1_043	22538
mSp_rep1_044	2827
mSp_rep1_045	22746
mSp_rep1_046	26247
mSp_rep1_047	25083
mSp_rep1_048	32553
mSp_rep1_049	25892
mSp_rep1_050	27713
mSp_rep1_051	20512
mSp_rep1_052	21445
mSp_rep1_053	59973
mSp_rep1_054	26764
mSp_rep1_055	27913
mSp_rep1_056	37870
mSp_rep1_057	8629
mSp_rep1_058	21378
mSp_rep1_059	24084
mSp_rep1_060	56703
mSp_rep1_061	34577
mSp_rep1_062	22253
mSp_rep1_063	13237
mSp_rep1_064	17505
mSp_rep1_065	11374
mSp_rep1_066	22785
mSp_rep1_067	23694
mSp_rep1_068	29218
mSp_rep1_069	55406
mSp_rep1_070	29867
mSp_rep1_071	27633
mSp_rep1_072	24666
mSp_rep1_073	28205
mSp_rep1_074	15989
mSp_rep1_075	25403
mSp_rep1_076	35832
mSp_rep1_077	38146
mSp_rep1_078	26773
mSp_rep1_079	41087
mSp_rep1_080	36550
mSp_rep1_081	28260
mSp_rep1_082	18590
mSp_rep1_083	10591
mSp_rep1_084	31414
mSp_rep1_085	32970
mSp_rep1_086	30094
mSp_rep1_087	46288
mSp_rep1_088	28665
mSp_rep1_089	32922
mSp_rep1_090	49551
mSp_rep1_091	31801
mSp_rep1_092	31852
mSp_rep1_093	31580
mSp_rep1_094	28961
mSp_rep1_095	39922
mSp_rep1_096	532
mSp_rep2_001	28409
mSp_rep2_002	55037
mSp_rep2_003	32271
mSp_rep2_004	33230
mSp_rep2_005	38511
mSp_rep2_006	35227
mSp_rep2_007	25540
mSp_rep2_008	29173
mSp_rep2_009	19029
mSp_rep2_010	29801
mSp_rep2_011	19582
mSp_rep2_012	37698
mSp_rep2_013	254257
mSp_rep2_014	31479
mSp_rep2_015	41050
mSp_rep2_016	34060
mSp_rep2_017	25360
mSp_rep2_018	13244
mSp_rep2_019	29344
mSp_rep2_020	19426
mSp_rep2_021	26939
mSp_rep2_022	28020
mSp_rep2_023	29601
mSp_rep2_024	43483
mSp_rep2_025	23760
mSp_rep2_026	28486
mSp_rep2_027	39100
mSp_rep2_028	32544
mSp_rep2_029	57577
mSp_rep2_030	2899
mSp_rep2_031	21294
mSp_rep2_032	21525
mSp_rep2_033	73351
mSp_rep2_034	23684
mSp_rep2_035	31058
mSp_rep2_036	17942
mSp_rep2_037	31001
mSp_rep2_038	24494
