cell	mapping_rate
mSp_rep3_085	97.39
mSp_rep3_086	97.68
mSp_rep3_087	97.58
mSp_rep3_088	97.31
mSp_rep3_089	97.63
mSp_rep3_090	97.76
mSp_rep3_091	97.62
mSp_rep3_092	98.46
mSp_rep3_093	96.69
mSp_rep3_094	97.23
mSp_rep3_095	96.10
mSp_rep3_096	94.48
mSp_rep3_097	95.90
mSp_rep3_098	97.37
mSp_rep3_099	96.85
mSp_rep3_100	96.51
mSp_rep3_101	97.45
mSp_rep3_102	96.95
mSp_rep3_103	96.97
mSp_rep3_104	97.12
mSp_rep3_105	96.66
mSp_rep3_106	97.18
mSp_rep3_107	97.19
mSp_rep3_108	97.74
mSp_rep3_109	97.40
mSp_rep3_110	96.87
mSp_rep3_111	96.61
mSp_rep3_112	97.54
mSp_rep3_113	97.12
mSp_rep3_114	96.89
mSp_rep3_115	97.02
mSp_rep3_116	97.50
mSp_rep3_117	97.10
mSp_rep3_118	97.25
mSp_rep3_119	95.85
mSp_rep3_120	96.69
mSp_rep3_121	96.88
mSp_rep3_122	97.23
mSp_rep3_123	97.18
mSp_rep3_124	96.82
mSp_rep3_125	97.03
mSp_rep3_126	84.74
mSp_rep3_127	97.31
mSp_rep3_128	96.17
mSp_rep3_129	97.42
mSp_rep3_130	96.81
mSp_rep3_131	97.53
mSp_rep3_132	97.11
mSp_rep3_133	97.01
mSp_rep3_134	97.21
mSp_rep3_135	96.95
mSp_rep3_136	97.58
mSp_rep3_137	97.48
mSp_rep3_138	97.64
mSp_rep3_139	96.40
mSp_rep3_140	97.70
mSp_rep3_141	96.84
mSp_rep3_142	97.27
mSp_rep3_143	97.00
mSp_rep3_144	96.76
mSp_rep3_145	97.07
mSp_rep3_146	97.55
mSp_rep3_147	97.08
mSp_rep3_148	97.05
mSp_rep3_149	96.63
mSp_rep3_150	96.71
mSp_rep3_151	96.67
mSp_rep3_152	96.98
mSp_rep3_153	96.08
mSp_rep3_154	96.96
mSp_rep3_155	97.18
mSp_rep3_156	97.04
mSp_rep3_157	97.26
mSp_rep3_158	97.39
mSp_rep3_159	96.86
mSp_rep3_160	97.60
mSp_rep3_161	97.32
mSp_rep3_162	97.19
mSp_rep3_163	97.25
mSp_rep3_164	96.52
mSp_rep3_165	97.41
mSp_rep3_166	97.13
mSp_rep3_167	97.36
mSp_rep3_168	97.11
mSp_rep3_169	97.15
mSp_rep3_170	96.41
mSp_rep3_171	97.18
mSp_rep3_172	97.25
mSp_rep3_173	97.72
mSp_rep3_174	96.84
mSp_rep3_175	97.38
