cell,frip,uniq_frags,mt_content,sequencing_depth,dup_level,frac_open,mapping_rate,plate,batch
mSp_rep3_384,0.7111109999999999,45.0,0.0,116,0.0,0.000436,59.91,rep3,Sp#1 (n=960)
mSp_rep4_007,0.6835439999999999,78.0,0.012657999999999999,187,0.0125,0.000717,64.97,rep4,Sp#1 (n=960)
mSp_rep4_095,0.471649,150.0,0.226804,4461,0.9453520000000001,0.000653,95.43,rep4,Sp#1 (n=960)
mSp_rep4_126,0.728256,25067.0,0.031863,647755,0.9528139999999999,0.147119,89.17,rep4,Sp#1 (n=960)
mSp_rep4_251,0.8519479999999999,87.0,0.774026,9295,0.9418780000000001,0.000602,99.06,rep4,Sp#1 (n=960)
mSp_rep4_366,0.805556,17.0,0.055555999999999994,55,0.0,0.000192,61.82,rep4,Sp#1 (n=960)
mSp_rep4_370,0.787234,46.0,0.021277,129,0.419753,0.0005,77.52,rep4,Sp#1 (n=960)
mSp_rep4_372,0.703125,31.0,0.03125,152,0.0,0.00032,38.49,rep4,Sp#1 (n=960)
mSp_rep4_378,0.625,44.0,0.0,105,0.0,0.000397,65.71,rep4,Sp#1 (n=960)
mSp_rep4_384,0.6176470000000001,33.0,0.029412,142,0.0,0.00028199999999999997,39.79,rep4,Sp#1 (n=960)
mSp_rep5_017,0.744318,259.0,0.018938999999999998,438,0.003774,0.002588,79.68,rep5,Sp#2 (n=2688)
mSp_rep5_126,0.730785,32102.0,0.004682,624846,0.9394040000000001,0.171726,88.87,rep5,Sp#2 (n=2688)
mSp_rep5_137,0.771429,280.0,0.0,497,0.116719,0.002869,82.8,rep5,Sp#2 (n=2688)
mSp_rep5_216,0.8387100000000001,123.0,0.008065000000000001,232,0.008,0.0013449999999999998,76.94,rep5,Sp#2 (n=2688)
mSp_rep5_267,0.807143,69.0,0.014286000000000002,149,0.0,0.00073,72.15,rep5,Sp#2 (n=2688)
mSp_rep5_373,0.776515,131.0,0.007576,243,0.0,0.0013830000000000001,79.22,rep5,Sp#2 (n=2688)
mSp_rep5_384,0.8125,110.0,0.017856999999999998,222,0.00885,0.001204,78.15,rep5,Sp#2 (n=2688)
mSp_rep6_001,0.747876,1167.0,0.098842,1934,0.019681999999999998,0.010722,83.92,rep6,Sp#2 (n=2688)
mSp_rep6_006,0.727064,420.0,0.036697,715,0.026786,0.004009,79.16,rep6,Sp#2 (n=2688)
mSp_rep6_008,0.776328,1038.0,0.032619,1748,0.016499,0.010184,78.38,rep6,Sp#2 (n=2688)
mSp_rep6_009,0.711735,188.0,0.040816000000000005,335,0.0,0.0017289999999999999,77.31,rep6,Sp#2 (n=2688)
mSp_rep6_021,0.765262,1800.0,0.027552999999999998,2576,0.02167,0.017190999999999998,86.59,rep6,Sp#2 (n=2688)
mSp_rep6_024,0.774763,1136.0,0.021533,1798,0.020253,0.011119,77.59,rep6,Sp#2 (n=2688)
mSp_rep6_026,0.718299,1869.0,0.036598,2740,0.029029000000000003,0.016819,88.18,rep6,Sp#2 (n=2688)
mSp_rep6_033,0.760255,635.0,0.101839,991,0.015319999999999999,0.005995,86.98,rep6,Sp#2 (n=2688)
mSp_rep6_039,0.669355,184.0,0.010753,313,0.010638,0.001614,80.83,rep6,Sp#2 (n=2688)
mSp_rep6_041,0.740458,636.0,0.029008,1060,0.013553999999999998,0.006187,81.46,rep6,Sp#2 (n=2688)
mSp_rep6_043,0.759659,1451.0,0.049770999999999996,2117,0.014838999999999998,0.013924,87.48,rep6,Sp#2 (n=2688)
mSp_rep6_063,0.760417,141.0,0.020833,264,0.046357999999999996,0.001422,78.03,rep6,Sp#2 (n=2688)
mSp_rep6_064,0.7658229999999999,228.0,0.037975,461,0.055777,0.002293,77.22,rep6,Sp#2 (n=2688)
mSp_rep6_072,0.743976,162.0,0.024096,329,0.0,0.001588,72.64,rep6,Sp#2 (n=2688)
mSp_rep6_074,0.713277,344.0,0.028249,816,0.213333,0.003331,65.62,rep6,Sp#2 (n=2688)
mSp_rep6_075,0.7260479999999999,324.0,0.029939999999999998,596,0.171216,0.0031899999999999997,82.3,rep6,Sp#2 (n=2688)
mSp_rep6_076,0.705314,198.0,0.043477999999999996,354,0.0,0.00187,78.95,rep6,Sp#2 (n=2688)
mSp_rep6_077,0.760753,365.0,0.018817,601,0.0,0.0036509999999999997,77.45,rep6,Sp#2 (n=2688)
mSp_rep6_078,0.690813,276.0,0.024735,445,0.0035210000000000003,0.002562,80.22,rep6,Sp#2 (n=2688)
mSp_rep6_079,0.705446,393.0,0.027228,651,0.0,0.0037020000000000004,79.19,rep6,Sp#2 (n=2688)
mSp_rep6_080,0.771605,311.0,0.040123,1850,0.0,0.003151,23.24,rep6,Sp#2 (n=2688)
mSp_rep6_081,0.742718,201.0,0.024272,291,0.004831,0.001998,85.74,rep6,Sp#2 (n=2688)
mSp_rep6_082,0.715,195.0,0.025,334,0.0,0.001857,79.04,rep6,Sp#2 (n=2688)
mSp_rep6_084,0.737354,494.0,0.038911,795,0.005803,0.004752,81.95,rep6,Sp#2 (n=2688)
mSp_rep6_086,0.763072,294.0,0.039216,478,0.0,0.00301,80.33,rep6,Sp#2 (n=2688)
mSp_rep6_087,0.673077,151.0,0.032050999999999996,246,0.0,0.0013830000000000001,82.52,rep6,Sp#2 (n=2688)
mSp_rep6_088,0.681373,299.0,0.022876,476,0.003257,0.002741,78.36,rep6,Sp#2 (n=2688)
mSp_rep6_098,0.701531,192.0,0.020408000000000003,303,0.010101,0.001883,81.85,rep6,Sp#2 (n=2688)
mSp_rep6_099,0.732558,208.0,0.032558,324,0.00463,0.002075,83.33,rep6,Sp#2 (n=2688)
mSp_rep6_100,0.8111109999999999,43.0,0.044444,88,0.0,0.00046100000000000004,72.73,rep6,Sp#2 (n=2688)
mSp_rep6_101,0.728448,225.0,0.030172000000000004,425,0.016949000000000002,0.0021780000000000002,75.65,rep6,Sp#2 (n=2688)
mSp_rep6_102,0.692308,114.0,0.025641000000000004,254,0.264151,0.001102,81.1,rep6,Sp#2 (n=2688)
mSp_rep6_103,0.673709,211.0,0.00939,393,0.187023,0.00196,82.32,rep6,Sp#2 (n=2688)
mSp_rep6_105,0.659483,110.0,0.051724,190,0.016949000000000002,0.0009609999999999999,82.63,rep6,Sp#2 (n=2688)
mSp_rep6_106,0.705479,68.0,0.068493,185,0.013513999999999998,0.00064,58.11,rep6,Sp#2 (n=2688)
mSp_rep6_107,0.688095,198.0,0.05714299999999999,416,0.032257999999999995,0.0017929999999999999,68.63,rep6,Sp#2 (n=2688)
mSp_rep6_111,0.8,42.0,0.06666699999999999,138,0.021738999999999998,0.00044800000000000005,65.22,rep6,Sp#2 (n=2688)
mSp_rep6_112,0.6943010000000001,186.0,0.036269,306,0.0,0.0017289999999999999,80.72,rep6,Sp#2 (n=2688)
mSp_rep6_113,0.753165,234.0,0.012657999999999999,397,0.0125,0.002421,79.6,rep6,Sp#2 (n=2688)
mSp_rep6_114,0.7484850000000001,162.0,0.018182,293,0.006024,0.001652,78.5,rep6,Sp#2 (n=2688)
mSp_rep6_116,0.7288560000000001,195.0,0.029851,386,0.00495,0.001947,72.15,rep6,Sp#2 (n=2688)
mSp_rep6_117,0.774011,170.0,0.039548,335,0.161137,0.0017809999999999998,81.49,rep6,Sp#2 (n=2688)
mSp_rep6_118,0.7,126.0,0.030769,341,0.015152,0.001166,52.2,rep6,Sp#2 (n=2688)
mSp_rep6_119,0.664794,259.0,0.029963,445,0.007435,0.002242,78.54,rep6,Sp#2 (n=2688)
mSp_rep6_120,0.700508,195.0,0.010152,426,0.205645,0.0018449999999999999,84.62,rep6,Sp#2 (n=2688)
mSp_rep6_121,0.711587,386.0,0.027708,575,0.009975,0.003676,83.65,rep6,Sp#2 (n=2688)
mSp_rep6_122,0.72619,330.0,0.017856999999999998,501,0.0,0.0032020000000000004,83.23,rep6,Sp#2 (n=2688)
mSp_rep6_123,0.707317,400.0,0.024390000000000002,596,0.023809999999999998,0.0038810000000000003,84.31,rep6,Sp#2 (n=2688)
mSp_rep6_126,0.694444,295.0,0.035948,82578,0.339093,0.002716,0.76,rep6,Sp#2 (n=2688)
mSp_rep6_127,0.693396,408.0,0.037736,721,0.150301,0.003728,83.7,rep6,Sp#2 (n=2688)
mSp_rep6_128,0.7288140000000001,463.0,0.019068,751,0.09578500000000001,0.004419,85.02,rep6,Sp#2 (n=2688)
mSp_rep6_129,0.780255,149.0,0.050955,259,0.127778,0.001576,85.71,rep6,Sp#2 (n=2688)
mSp_rep6_130,0.722222,306.0,0.028571,491,0.006309,0.002972,75.97,rep6,Sp#2 (n=2688)
mSp_rep6_131,0.739899,382.0,0.035354000000000003,573,0.01737,0.003843,85.08,rep6,Sp#2 (n=2688)
mSp_rep6_133,0.7674770000000001,325.0,0.012158,570,0.0,0.003343,72.11,rep6,Sp#2 (n=2688)
mSp_rep6_134,0.681009,325.0,0.035608,524,0.079235,0.002895,84.73,rep6,Sp#2 (n=2688)
mSp_rep6_137,0.700549,356.0,0.021978,748,0.33818200000000004,0.0033689999999999996,85.36,rep6,Sp#2 (n=2688)
mSp_rep6_138,0.7138359999999999,155.0,0.025157,242,0.0,0.001486,82.44,rep6,Sp#2 (n=2688)
mSp_rep6_140,0.674927,334.0,0.026239,576,0.138191,0.0029850000000000002,84.46,rep6,Sp#2 (n=2688)
mSp_rep6_141,0.708835,484.0,0.028112,853,0.049618,0.004573,78.37,rep6,Sp#2 (n=2688)
mSp_rep6_142,0.7046979999999999,289.0,0.030201,533,0.196765,0.0026899999999999997,84.43,rep6,Sp#2 (n=2688)
mSp_rep6_143,0.676778,461.0,0.035565,683,0.002088,0.004163,83.02,rep6,Sp#2 (n=2688)
mSp_rep6_144,0.696121,226.0,0.025862,347,0.008546999999999999,0.002139,80.98,rep6,Sp#2 (n=2688)
mSp_rep6_145,0.724374,414.0,0.056948,694,0.0,0.003894,82.28,rep6,Sp#2 (n=2688)
mSp_rep6_146,0.785047,314.0,0.021807,470,0.0,0.003254,85.43,rep6,Sp#2 (n=2688)
mSp_rep6_147,0.762019,410.0,0.014422999999999998,618,0.002398,0.004111999999999999,82.77,rep6,Sp#2 (n=2688)
mSp_rep6_148,0.72,196.0,0.02,290,0.0,0.0019210000000000002,84.48,rep6,Sp#2 (n=2688)
mSp_rep6_149,0.661392,297.0,0.060127,490,0.009404000000000001,0.002588,82.45,rep6,Sp#2 (n=2688)
mSp_rep6_151,0.72377,589.0,0.034426,929,0.00974,0.005649,83.26,rep6,Sp#2 (n=2688)
mSp_rep6_152,0.714697,338.0,0.025937,521,0.002874,0.0031379999999999997,82.34,rep6,Sp#2 (n=2688)
mSp_rep6_153,0.691083,151.0,0.038217,294,0.311404,0.0013830000000000001,90.14,rep6,Sp#2 (n=2688)
mSp_rep6_157,0.6727270000000001,268.0,0.025455000000000002,425,0.0,0.002408,82.82,rep6,Sp#2 (n=2688)
mSp_rep6_158,0.744165,547.0,0.017953,785,0.0017920000000000002,0.005444,86.18,rep6,Sp#2 (n=2688)
mSp_rep6_159,0.7201489999999999,392.0,0.024876,564,0.0074069999999999995,0.003804,85.82,rep6,Sp#2 (n=2688)
mSp_rep6_160,0.649177,481.0,0.010288,745,0.004098,0.004227000000000001,82.75,rep6,Sp#2 (n=2688)
mSp_rep6_161,0.6856869999999999,514.0,0.005803,784,0.068468,0.004676,85.14,rep6,Sp#2 (n=2688)
mSp_rep6_162,0.721774,122.0,0.016128999999999998,199,0.14482799999999998,0.001204,87.94,rep6,Sp#2 (n=2688)
mSp_rep6_163,0.668089,567.0,0.032423,881,0.00678,0.005047,84.28,rep6,Sp#2 (n=2688)
mSp_rep6_164,0.663022,495.0,0.015905000000000002,802,0.090416,0.004342,84.35,rep6,Sp#2 (n=2688)
mSp_rep6_165,0.751429,339.0,0.031429,594,0.005682,0.0033950000000000004,78.79,rep6,Sp#2 (n=2688)
mSp_rep6_166,0.625,405.0,0.007353,689,0.072727,0.0034200000000000003,81.35,rep6,Sp#2 (n=2688)
mSp_rep6_167,0.666972,532.0,0.023853,841,0.005474000000000001,0.00465,82.94,rep6,Sp#2 (n=2688)
mSp_rep6_169,0.626092,798.0,0.0037450000000000005,1308,0.11295699999999999,0.006802,78.25,rep6,Sp#2 (n=2688)
mSp_rep6_170,0.659574,183.0,0.026595999999999998,282,0.0,0.001678,82.62,rep6,Sp#2 (n=2688)
mSp_rep6_172,0.674118,407.0,0.042352999999999995,629,0.053452,0.0036119999999999998,83.62,rep6,Sp#2 (n=2688)
mSp_rep6_173,0.6674359999999999,1246.0,0.040801,1759,0.009909000000000001,0.010901000000000001,87.24,rep6,Sp#2 (n=2688)
mSp_rep6_177,0.764706,81.0,0.047059,129,0.0,0.000833,83.33,rep6,Sp#2 (n=2688)
mSp_rep6_179,0.71,822.0,0.032941000000000005,1175,0.012776000000000001,0.007686,87.15,rep6,Sp#2 (n=2688)
mSp_rep6_181,0.7006760000000001,729.0,0.014865,1077,0.005376,0.006802,85.33,rep6,Sp#2 (n=2688)
mSp_rep6_182,0.649798,958.0,0.030364,1430,0.008032,0.008275,85.7,rep6,Sp#2 (n=2688)
mSp_rep6_183,0.772727,117.0,0.033058,206,0.0,0.001191,79.13,rep6,Sp#2 (n=2688)
mSp_rep6_184,0.677054,352.0,0.002833,484,0.011204,0.0031260000000000003,87.19,rep6,Sp#2 (n=2688)
mSp_rep6_185,0.653061,239.0,0.02449,415,0.004065,0.0021260000000000003,78.55,rep6,Sp#2 (n=2688)
mSp_rep6_186,0.694828,285.0,0.017241,434,0.0,0.0026260000000000003,82.72,rep6,Sp#2 (n=2688)
mSp_rep6_188,0.6869029999999999,716.0,0.023191999999999997,1028,0.008119,0.006571,84.87,rep6,Sp#2 (n=2688)
mSp_rep6_189,0.690934,725.0,0.004121,1098,0.006821,0.006712,81.74,rep6,Sp#2 (n=2688)
mSp_rep6_190,0.7345010000000001,355.0,0.043127,542,0.0,0.0034200000000000003,85.24,rep6,Sp#2 (n=2688)
mSp_rep6_191,0.727169,860.0,0.018265,1779,0.382228,0.008262,90.16,rep6,Sp#2 (n=2688)
mSp_rep6_192,0.667614,512.0,0.030302999999999997,777,0.018587,0.004432,84.88,rep6,Sp#2 (n=2688)
mSp_rep6_193,0.735751,191.0,0.010362999999999999,478,0.005155,0.00187,50.94,rep6,Sp#2 (n=2688)
mSp_rep6_194,0.710227,172.0,0.022727,299,0.00565,0.001627,80.27,rep6,Sp#2 (n=2688)
mSp_rep6_196,0.69209,174.0,0.016949000000000002,258,0.005618,0.001588,86.43,rep6,Sp#2 (n=2688)
mSp_rep6_198,0.696721,177.0,0.032787000000000004,363,0.324723,0.001614,88.57,rep6,Sp#2 (n=2688)
mSp_rep6_199,0.733216,271.0,0.042402999999999996,512,0.0,0.002639,70.31,rep6,Sp#2 (n=2688)
mSp_rep6_200,0.717993,281.0,0.027682,637,0.17663800000000002,0.002664,72.45,rep6,Sp#2 (n=2688)
mSp_rep6_201,0.786667,70.0,0.06666699999999999,119,0.0,0.000717,80.67,rep6,Sp#2 (n=2688)
mSp_rep6_202,0.755708,209.0,0.045662,402,0.091286,0.002062,72.39,rep6,Sp#2 (n=2688)
mSp_rep6_203,0.688312,214.0,0.07359299999999999,377,0.012821,0.0019089999999999999,82.23,rep6,Sp#2 (n=2688)
mSp_rep6_204,0.72695,268.0,0.049645,516,0.15315299999999998,0.002536,82.36,rep6,Sp#2 (n=2688)
mSp_rep6_205,0.710046,215.0,0.018265,792,0.6501600000000001,0.0020109999999999998,88.07,rep6,Sp#2 (n=2688)
mSp_rep6_206,0.735751,182.0,0.056995000000000004,351,0.2249,0.0017420000000000003,86.18,rep6,Sp#2 (n=2688)
mSp_rep6_207,0.733333,59.0,0.016666999999999998,2748,0.0,0.000576,2.69,rep6,Sp#2 (n=2688)
mSp_rep6_208,0.734375,127.0,0.007812,203,0.007751999999999999,0.001217,82.02,rep6,Sp#2 (n=2688)
mSp_rep6_209,0.6679689999999999,125.0,0.023438,271,0.268571,0.001102,80.81,rep6,Sp#2 (n=2688)
mSp_rep6_218,0.743772,270.0,0.039146,554,0.003546,0.0026260000000000003,74.19,rep6,Sp#2 (n=2688)
mSp_rep6_219,0.747875,346.0,0.01983,637,0.024862000000000002,0.003433,76.92,rep6,Sp#2 (n=2688)
mSp_rep6_251,0.6589149999999999,630.0,0.023256,1109,0.083807,0.005406,82.73,rep6,Sp#2 (n=2688)
mSp_rep6_256,0.630189,259.0,0.022642,2220,0.843842,0.002165,86.13,rep6,Sp#2 (n=2688)
mSp_rep6_258,0.706349,123.0,0.023809999999999998,289,0.023256,0.00114,72.49,rep6,Sp#2 (n=2688)
mSp_rep6_267,0.729167,210.0,0.027777999999999997,430,0.004608,0.0019850000000000002,75.23,rep6,Sp#2 (n=2688)
mSp_rep6_269,0.745552,269.0,0.042705,628,0.020906,0.002588,72.61,rep6,Sp#2 (n=2688)
mSp_rep6_271,0.792388,282.0,0.024221,584,0.006873000000000001,0.0029460000000000003,74.49,rep6,Sp#2 (n=2688)
mSp_rep6_277,0.7425,198.0,0.01,412,0.0,0.001947,73.06,rep6,Sp#2 (n=2688)
mSp_rep6_292,0.7460140000000001,427.0,0.027335,656,0.0,0.004214,83.77,rep6,Sp#2 (n=2688)
mSp_rep6_294,0.632102,349.0,0.008523000000000001,723,0.2,0.002895,76.83,rep6,Sp#2 (n=2688)
mSp_rep6_297,0.744681,90.0,0.042553,168,0.0,0.000909,76.79,rep6,Sp#2 (n=2688)
mSp_rep6_298,0.72045,507.0,0.048780000000000004,893,0.0037380000000000004,0.004727,77.72,rep6,Sp#2 (n=2688)
mSp_rep6_301,0.691882,269.0,0.007379999999999999,503,0.108553,0.0025239999999999998,79.92,rep6,Sp#2 (n=2688)
mSp_rep6_306,0.726695,229.0,0.029661,500,0.342618,0.002229,85.8,rep6,Sp#2 (n=2688)
mSp_rep6_316,0.701049,278.0,0.027972000000000004,507,0.010381,0.002613,77.02,rep6,Sp#2 (n=2688)
mSp_rep6_322,0.7585810000000001,418.0,0.043477999999999996,686,0.004556,0.004086,80.61,rep6,Sp#2 (n=2688)
mSp_rep6_324,0.731416,1091.0,0.034513,1586,0.008772,0.010197,85.44,rep6,Sp#2 (n=2688)
mSp_rep6_326,0.728873,550.0,0.031689999999999996,846,0.012173999999999999,0.0052899999999999996,82.57,rep6,Sp#2 (n=2688)
mSp_rep6_327,0.694595,181.0,0.021622,329,0.005376,0.001678,75.53,rep6,Sp#2 (n=2688)
mSp_rep6_333,0.7491979999999999,896.0,0.041711,1514,0.007431,0.008544,79.66,rep6,Sp#2 (n=2688)
mSp_rep6_334,0.72844,528.0,0.031193000000000002,857,0.014466999999999999,0.005009,80.86,rep6,Sp#2 (n=2688)
mSp_rep6_337,0.6910689999999999,1343.0,0.016837,1879,0.048083999999999995,0.01222,87.97,rep6,Sp#2 (n=2688)
mSp_rep6_340,0.785714,659.0,0.019344999999999998,962,0.005917,0.006802,84.67,rep6,Sp#2 (n=2688)
mSp_rep6_349,0.735197,1191.0,0.020559,1719,0.002461,0.011285,85.92,rep6,Sp#2 (n=2688)
mSp_rep6_350,0.7015680000000001,1065.0,0.017528,1486,0.004591,0.009902,86.47,rep6,Sp#2 (n=2688)
mSp_rep6_351,0.729039,481.0,0.01636,675,0.008114,0.004765,85.11,rep6,Sp#2 (n=2688)
mSp_rep6_352,0.7046560000000001,1000.0,0.030068,1403,0.0048259999999999996,0.009261,87.81,rep6,Sp#2 (n=2688)
mSp_rep6_356,0.727206,1342.0,0.021152,1863,0.008676999999999999,0.01281,87.79,rep6,Sp#2 (n=2688)
mSp_rep6_358,0.747793,766.0,0.034048,1125,0.001259,0.0075450000000000005,86.36,rep6,Sp#2 (n=2688)
mSp_rep6_360,0.68558,1145.0,0.023038,1609,0.007620999999999999,0.010325,86.92,rep6,Sp#2 (n=2688)
mSp_rep6_369,0.825843,81.0,0.089888,163,0.043011,0.000897,77.91,rep6,Sp#2 (n=2688)
mSp_rep6_373,0.773649,142.0,0.040541,373,0.006711,0.0015119999999999999,63.4,rep6,Sp#2 (n=2688)
mSp_rep6_375,0.709677,120.0,0.032257999999999995,263,0.03876,0.001114,75.86,rep6,Sp#2 (n=2688)
mSp_rep6_376,0.768421,182.0,0.042105000000000004,429,0.27203099999999997,0.00187,79.72,rep6,Sp#2 (n=2688)
mSp_rep6_378,0.683036,111.0,0.008929000000000001,240,0.00885,0.000999,74.17,rep6,Sp#2 (n=2688)
mSp_rep6_379,0.7293390000000001,241.0,0.004132,478,0.01626,0.002306,75.73,rep6,Sp#2 (n=2688)
mSp_rep6_380,0.715847,180.0,0.016393,361,0.0,0.001704,74.65,rep6,Sp#2 (n=2688)
mSp_rep6_382,0.7241380000000001,171.0,0.017241,608,0.5756100000000001,0.001652,80.26,rep6,Sp#2 (n=2688)
mSp_rep6_384,0.7757350000000001,134.0,0.014706,297,0.0,0.001422,66.84,rep6,Sp#2 (n=2688)
mSp_rep7_006,0.739216,497.0,0.025490000000000002,778,0.001957,0.004829,83.16,rep7,Sp#2 (n=2688)
mSp_rep7_016,0.78,484.0,0.032,767,0.0039840000000000006,0.004868,81.94,rep7,Sp#2 (n=2688)
mSp_rep7_027,0.724329,617.0,0.025276,911,0.00315,0.005828,85.24,rep7,Sp#2 (n=2688)
mSp_rep7_031,0.774038,722.0,0.008242,1015,0.008173999999999999,0.007186,86.31,rep7,Sp#2 (n=2688)
mSp_rep7_047,0.771947,510.0,0.026718000000000002,786,0.005693,0.005226,84.41,rep7,Sp#2 (n=2688)
mSp_rep7_091,0.7166279999999999,417.0,0.023419,688,0.002336,0.0039840000000000006,81.54,rep7,Sp#2 (n=2688)
mSp_rep7_103,0.7722220000000001,349.0,0.030556,625,0.010989,0.003535,77.2,rep7,Sp#2 (n=2688)
mSp_rep7_111,0.766476,329.0,0.057307000000000004,548,0.002857,0.003254,82.03,rep7,Sp#2 (n=2688)
mSp_rep7_114,0.736765,325.0,0.044118,557,0.0,0.003151,78.82,rep7,Sp#2 (n=2688)
mSp_rep7_126,0.749537,12286.0,0.011346,384257,0.9504040000000001,0.081995,68.68,rep7,Sp#2 (n=2688)
mSp_rep7_211,0.7751939999999999,127.0,0.015503999999999999,343,0.0,0.0013189999999999999,61.37,rep7,Sp#2 (n=2688)
mSp_rep7_227,0.7094239999999999,185.0,0.031414,545,0.43988299999999997,0.0017420000000000003,83.3,rep7,Sp#2 (n=2688)
mSp_rep7_250,0.741477,173.0,0.017044999999999998,405,0.12,0.0016649999999999998,69.51,rep7,Sp#2 (n=2688)
mSp_rep7_265,0.723577,120.0,0.024390000000000002,299,0.0,0.001178,65.72,rep7,Sp#2 (n=2688)
mSp_rep7_272,0.796053,144.0,0.052632000000000005,388,0.012987,0.001524,67.91,rep7,Sp#2 (n=2688)
mSp_rep7_285,0.765957,508.0,0.017408,8304,0.9289639999999999,0.004829,95.63,rep7,Sp#2 (n=2688)
mSp_rep7_286,0.7888890000000001,128.0,0.051851999999999995,323,0.028776999999999997,0.001332,69.81,rep7,Sp#2 (n=2688)
mSp_rep7_296,0.747549,198.0,0.029412,458,0.004878,0.001973,70.63,rep7,Sp#2 (n=2688)
mSp_rep7_300,0.781022,132.0,0.036496,298,0.0,0.0013830000000000001,71.48,rep7,Sp#2 (n=2688)
mSp_rep7_302,0.716292,175.0,0.016854,348,0.005587,0.00164,75.72,rep7,Sp#2 (n=2688)
mSp_rep7_307,0.7185630000000001,164.0,0.017963999999999997,340,0.005952000000000001,0.001576,73.68,rep7,Sp#2 (n=2688)
mSp_rep7_314,0.750926,522.0,0.033333,916,0.030521,0.00506,78.49,rep7,Sp#2 (n=2688)
mSp_rep7_317,0.770312,309.0,0.034375,589,0.0,0.003151,73.34,rep7,Sp#2 (n=2688)
mSp_rep7_318,0.723757,351.0,0.030387,566,0.008219,0.003356,80.48,rep7,Sp#2 (n=2688)
mSp_rep7_319,0.746851,384.0,0.032746,666,0.0075,0.003766,72.67,rep7,Sp#2 (n=2688)
mSp_rep7_323,0.74031,503.0,0.025194,800,0.076923,0.004957,82.06,rep7,Sp#2 (n=2688)
mSp_rep7_324,0.744259,467.0,0.025052,725,0.026423000000000002,0.004573,81.24,rep7,Sp#2 (n=2688)
mSp_rep7_326,0.731827,495.0,0.027505,789,0.003914,0.004765,78.39,rep7,Sp#2 (n=2688)
mSp_rep7_328,0.768065,419.0,0.02331,716,0.079399,0.004189,81.77,rep7,Sp#2 (n=2688)
mSp_rep7_331,0.688571,502.0,0.04381,828,0.007561,0.004509,79.17,rep7,Sp#2 (n=2688)
mSp_rep7_337,0.737658,857.0,0.016073,1147,0.002291,0.008275,87.45,rep7,Sp#2 (n=2688)
mSp_rep7_339,0.7257859999999999,781.0,0.01761,1077,0.001256,0.007468000000000001,86.12,rep7,Sp#2 (n=2688)
mSp_rep7_340,0.71135,1013.0,0.008806,1355,0.002927,0.009415,87.79,rep7,Sp#2 (n=2688)
mSp_rep7_341,0.7673,724.0,0.017639,1024,0.001355,0.007378,84.52,rep7,Sp#2 (n=2688)
mSp_rep7_344,0.763946,720.0,0.020408000000000003,1058,0.0,0.00725,82.61,rep7,Sp#2 (n=2688)
mSp_rep7_345,0.7359859999999999,1067.0,0.035262,1456,0.001805,0.010504000000000001,88.56,rep7,Sp#2 (n=2688)
mSp_rep7_346,0.732208,1081.0,0.013686000000000002,1405,0.0009119999999999999,0.010414,88.9,rep7,Sp#2 (n=2688)
mSp_rep7_348,0.742458,876.0,0.021228999999999998,1182,0.00223,0.008659,87.31,rep7,Sp#2 (n=2688)
mSp_rep7_351,0.7304149999999999,1071.0,0.012903,1428,0.006409999999999999,0.01035,87.99,rep7,Sp#2 (n=2688)
mSp_rep7_354,0.721302,826.0,0.022484999999999998,1131,0.002361,0.007878,86.78,rep7,Sp#2 (n=2688)
