,dup_level,frac_open,frip,library_size,mapping_rate,mt_content,sequencing_depth,uniq_frags,plate,batch
mSp_rep10_071,0.946631,0.18907100000000002,0.710034,37294.0,96.59,0.012816999999999999,769198,36816.0,rep10,Sp#2 (n=2688)
mSp_rep10_072,0.9463520000000001,0.191261,0.697913,38143.0,96.88,0.008546999999999999,773534,37817.0,rep10,Sp#2 (n=2688)
mSp_rep10_073,0.94386,0.13530899999999998,0.700705,24957.0,96.61,0.068438,510931,23249.0,rep10,Sp#2 (n=2688)
mSp_rep10_074,0.941845,0.190416,0.740274,38094.0,96.97,0.036042000000000005,732667,36721.0,rep10,Sp#2 (n=2688)
mSp_rep10_075,0.945996,0.181782,0.658587,34571.0,96.26,0.023719,720489,33751.0,rep10,Sp#2 (n=2688)
mSp_rep10_076,0.937984,0.171124,0.7349979999999999,31713.0,96.98,0.012109,563546,31329.0,rep10,Sp#2 (n=2688)
mSp_rep10_077,0.941401,0.224413,0.687353,45812.0,96.76,0.016939,866409,45036.0,rep10,Sp#2 (n=2688)
mSp_rep10_078,0.939494,0.136461,0.712026,25070.0,97.36,0.014119999999999999,454525,24716.0,rep10,Sp#2 (n=2688)
mSp_rep10_079,0.94594,0.178375,0.758995,33740.0,97.13,0.025697,689303,32873.0,rep10,Sp#2 (n=2688)
mSp_rep10_080,0.9394040000000001,0.103451,0.71672,16962.0,96.14,0.040149000000000004,318088,16281.0,rep10,Sp#2 (n=2688)
mSp_rep10_081,0.9352520000000001,0.19162,0.635338,37942.0,97.1,0.015181,642855,37366.0,rep10,Sp#2 (n=2688)
mSp_rep10_082,0.944357,0.169626,0.7228359999999999,31936.0,94.9,0.015030000000000002,648909,31456.0,rep10,Sp#2 (n=2688)
mSp_rep10_083,0.940166,0.192388,0.737838,36033.0,96.26,0.014986000000000001,670432,35493.0,rep10,Sp#2 (n=2688)
mSp_rep10_084,0.941264,0.167512,0.755275,31233.0,97.13,0.037845,593086,30051.0,rep10,Sp#2 (n=2688)
mSp_rep10_085,0.9401780000000001,0.18314,0.763544,35533.0,95.2,0.026933,676506,34576.0,rep10,Sp#2 (n=2688)
mSp_rep10_086,0.937322,0.071324,0.684426,11262.0,96.89,0.039247000000000004,201462,10820.0,rep10,Sp#2 (n=2688)
mSp_rep10_087,0.9454610000000001,0.173789,0.732047,33254.0,96.98,0.02508,675210,32420.0,rep10,Sp#2 (n=2688)
mSp_rep10_088,0.940658,0.08189199999999999,0.760302,13759.0,97.6,0.142016,271389,11805.0,rep10,Sp#2 (n=2688)
mSp_rep10_089,0.9389069999999999,0.220237,0.7215729999999999,48713.0,96.67,0.024347,891597,47527.0,rep10,Sp#2 (n=2688)
mSp_rep10_090,0.9340290000000001,0.169818,0.726052,29741.0,96.98,0.004674,494510,29602.0,rep10,Sp#2 (n=2688)
mSp_rep10_091,0.938317,0.184126,0.760363,35777.0,96.06,0.01909,649238,35094.0,rep10,Sp#2 (n=2688)
mSp_rep10_092,0.942312,0.12843,0.641138,28295.0,97.21,0.003922999999999999,533886,28184.0,rep10,Sp#2 (n=2688)
mSp_rep10_093,0.944415,0.17824700000000002,0.734805,32740.0,95.83,0.017287999999999998,662945,32174.0,rep10,Sp#2 (n=2688)
mSp_rep10_094,0.947462,0.198704,0.627069,44582.0,97.33,0.004755,925724,44370.0,rep10,Sp#2 (n=2688)
mSp_rep10_095,0.941377,0.179169,0.72023,34280.0,97.08,0.007439,641553,34025.0,rep10,Sp#2 (n=2688)
mSp_rep10_096,0.940291,0.111303,0.722723,17322.0,97.23,0.015297999999999999,319578,17057.0,rep10,Sp#2 (n=2688)
mSp_rep10_097,0.9433959999999999,0.178119,0.70881,33928.0,96.16,0.013971,665634,33454.0,rep10,Sp#2 (n=2688)
mSp_rep10_098,0.9449559999999999,0.12553499999999998,0.765718,19897.0,96.74,0.014173,396438,19615.0,rep10,Sp#2 (n=2688)
mSp_rep10_099,0.948462,0.17539000000000002,0.745684,33014.0,97.1,0.013661000000000001,698059,32563.0,rep10,Sp#2 (n=2688)
mSp_rep10_100,0.91815,0.164822,0.767821,28547.0,96.61,0.010264,386838,28254.0,rep10,Sp#2 (n=2688)
mSp_rep10_101,0.9419299999999999,0.076973,0.77091,11179.0,96.94,0.054567,216142,10569.0,rep10,Sp#2 (n=2688)
mSp_rep10_102,0.9422969999999999,0.18426700000000001,0.722435,35489.0,97.16,0.012454999999999999,670183,35047.0,rep10,Sp#2 (n=2688)
mSp_rep10_103,0.948284,0.197525,0.708465,39822.0,96.87,0.020793,847481,38994.0,rep10,Sp#2 (n=2688)
mSp_rep10_104,0.943385,0.143007,0.7504609999999999,24429.0,97.35,0.024233,471460,23837.0,rep10,Sp#2 (n=2688)
mSp_rep10_105,0.937558,0.15823800000000002,0.739849,28026.0,96.93,0.019303999999999998,493882,27485.0,rep10,Sp#2 (n=2688)
mSp_rep10_106,0.9464540000000001,0.139677,0.604196,34008.0,96.74,0.004028,693203,33871.0,rep10,Sp#2 (n=2688)
mSp_rep10_107,0.941608,0.165078,0.722327,29632.0,96.7,0.026357,560371,28851.0,rep10,Sp#2 (n=2688)
mSp_rep10_108,0.93665,0.14289200000000002,0.7582810000000001,24121.0,96.48,0.010406,420112,23870.0,rep10,Sp#2 (n=2688)
mSp_rep10_109,0.942984,0.180463,0.7377630000000001,35281.0,96.9,0.027097000000000003,683416,34325.0,rep10,Sp#2 (n=2688)
mSp_rep10_110,0.939933,0.132414,0.60735,30149.0,96.47,0.0011279999999999999,549066,30115.0,rep10,Sp#2 (n=2688)
mSp_rep10_111,0.9469780000000001,0.210668,0.712637,42763.0,96.93,0.015294,884315,42109.0,rep10,Sp#2 (n=2688)
mSp_rep10_112,0.939679,0.086862,0.733201,14912.0,96.93,0.072492,282023,13831.0,rep10,Sp#2 (n=2688)
mSp_rep10_113,0.9353600000000001,0.176082,0.709825,34207.0,95.71,0.012044,589679,33795.0,rep10,Sp#2 (n=2688)
mSp_rep10_114,0.9397559999999999,0.092166,0.757009,13696.0,96.21,0.02519,254004,13351.0,rep10,Sp#2 (n=2688)
mSp_rep10_115,0.9430780000000001,0.181026,0.698739,34271.0,96.57,0.028012000000000002,669849,33311.0,rep10,Sp#2 (n=2688)
mSp_rep10_116,0.94299,0.154831,0.749625,26676.0,97.12,0.017994,512252,26196.0,rep10,Sp#2 (n=2688)
mSp_rep10_117,0.9472959999999999,0.22861399999999998,0.670378,46931.0,96.26,0.005157,980575,46689.0,rep10,Sp#2 (n=2688)
mSp_rep10_118,0.9532860000000001,0.10611500000000001,0.697601,20134.0,96.73,0.116023,505452,17798.0,rep10,Sp#2 (n=2688)
mSp_rep10_119,0.9443530000000001,0.173405,0.731993,32516.0,97.1,0.012916999999999998,636301,32096.0,rep10,Sp#2 (n=2688)
mSp_rep10_120,0.9380280000000001,0.057117999999999995,0.78914,7818.0,96.92,0.003965,137968,7787.0,rep10,Sp#2 (n=2688)
mSp_rep10_121,0.942393,0.173494,0.750062,32486.0,95.67,0.008311,626156,32216.0,rep10,Sp#2 (n=2688)
mSp_rep10_122,0.9449629999999999,0.07269500000000001,0.714907,11961.0,96.54,0.073572,249276,11081.0,rep10,Sp#2 (n=2688)
mSp_rep10_123,0.9504040000000001,0.177491,0.7430260000000001,34949.0,96.7,0.035938,782787,33693.0,rep10,Sp#2 (n=2688)
mSp_rep10_124,0.943826,0.04892,0.744536,8602.0,97.31,0.199488,183148,6886.0,rep10,Sp#2 (n=2688)
mSp_rep10_125,0.944212,0.201176,0.696968,41296.0,96.54,0.01821,816423,40544.0,rep10,Sp#2 (n=2688)
mSp_rep10_126,0.9418350000000001,0.079894,0.749071,11846.0,73.46,0.026,296307,11538.0,rep10,Sp#2 (n=2688)
mSp_rep10_127,0.949952,0.171342,0.748409,32052.0,97.06,0.023867,705496,31287.0,rep10,Sp#2 (n=2688)
mSp_rep10_128,0.941557,0.188251,0.725421,37064.0,97.21,0.023662,695666,36187.0,rep10,Sp#2 (n=2688)
mSp_rep10_129,0.9257700000000001,0.140189,0.744895,24388.0,96.27,0.031122000000000004,364595,23629.0,rep10,Sp#2 (n=2688)
mSp_rep10_130,0.940853,0.22616799999999998,0.658507,48244.0,96.42,0.051032,923242,45782.0,rep10,Sp#2 (n=2688)
mSp_rep10_131,0.9457409999999999,0.195181,0.728887,39052.0,96.89,0.013494999999999998,787099,38525.0,rep10,Sp#2 (n=2688)
mSp_rep10_132,0.9442860000000001,0.161914,0.7629060000000001,27797.0,96.87,0.013994,544100,27408.0,rep10,Sp#2 (n=2688)
mSp_rep10_133,0.9451069999999999,0.20874600000000001,0.71791,42100.0,96.79,0.012423,839935,41577.0,rep10,Sp#2 (n=2688)
mSp_rep10_134,0.9426209999999999,0.18401099999999998,0.7277399999999999,35894.0,97.08,0.017078,683701,35281.0,rep10,Sp#2 (n=2688)
mSp_rep10_135,0.9485979999999999,0.200599,0.704392,41078.0,96.79,0.002897,869557,40959.0,rep10,Sp#2 (n=2688)
mSp_rep10_136,0.944916,0.18603499999999998,0.712829,36050.0,96.34,0.022469,723516,35240.0,rep10,Sp#2 (n=2688)
mSp_rep10_137,0.9424309999999999,0.108126,0.750525,18581.0,97.22,0.062483000000000004,363070,17420.0,rep10,Sp#2 (n=2688)
mSp_rep10_138,0.942842,0.177107,0.734033,33553.0,97.09,0.026406,644216,32667.0,rep10,Sp#2 (n=2688)
mSp_rep10_139,0.9441790000000001,0.16422,0.7313310000000001,32393.0,97.1,0.038527,642194,31145.0,rep10,Sp#2 (n=2688)
mSp_rep10_140,0.9452209999999999,0.072913,0.7801680000000001,10458.0,96.29,0.05469500000000001,215422,9886.0,rep10,Sp#2 (n=2688)
mSp_rep10_141,0.9491709999999999,0.14179,0.747254,24580.0,96.67,0.02738,535107,23907.0,rep10,Sp#2 (n=2688)
mSp_rep10_142,0.9489989999999999,0.103156,0.701539,16565.0,96.52,0.013944999999999999,358171,16334.0,rep10,Sp#2 (n=2688)
mSp_rep10_143,0.9470790000000001,0.202431,0.72,40016.0,97.01,0.01252,826674,39515.0,rep10,Sp#2 (n=2688)
mSp_rep10_144,0.9465,0.177939,0.756228,32916.0,97.2,0.02555,675350,32075.0,rep10,Sp#2 (n=2688)
mSp_rep10_145,0.943102,0.104027,0.754627,16318.0,96.79,0.042223000000000004,324260,15629.0,rep10,Sp#2 (n=2688)
mSp_rep10_146,0.945055,0.13708900000000002,0.766184,22708.0,97.23,0.028227999999999996,456438,22067.0,rep10,Sp#2 (n=2688)
mSp_rep10_147,0.9472940000000001,0.122473,0.709917,21842.0,97.18,0.057641,468316,20583.0,rep10,Sp#2 (n=2688)
mSp_rep10_148,0.931682,0.087388,0.726803,14226.0,96.49,0.062351,238456,13339.0,rep10,Sp#2 (n=2688)
mSp_rep10_149,0.942946,0.202752,0.690641,41872.0,97.22,0.016646,802345,41175.0,rep10,Sp#2 (n=2688)
mSp_rep10_150,0.942183,0.11428800000000001,0.726849,21025.0,96.76,0.014031,403194,20730.0,rep10,Sp#2 (n=2688)
mSp_rep10_151,0.9474790000000001,0.200151,0.7311300000000001,39136.0,97.41,0.023993,817424,38197.0,rep10,Sp#2 (n=2688)
mSp_rep10_152,0.9380940000000001,0.169446,0.757929,30677.0,97.06,0.012648000000000001,545121,30289.0,rep10,Sp#2 (n=2688)
mSp_rep10_153,0.9350149999999999,0.16153,0.7263029999999999,30099.0,97.14,0.007409000000000001,506509,29876.0,rep10,Sp#2 (n=2688)
mSp_rep10_154,0.9466319999999999,0.199447,0.7300989999999999,38692.0,96.86,0.009149,794278,38338.0,rep10,Sp#2 (n=2688)
mSp_rep10_155,0.944308,0.18068,0.742046,34132.0,97.16,0.025196,674108,33272.0,rep10,Sp#2 (n=2688)
mSp_rep10_156,0.942684,0.187137,0.720546,36022.0,96.98,0.016378999999999998,689726,35432.0,rep10,Sp#2 (n=2688)
mSp_rep10_157,0.94204,0.153076,0.764804,26293.0,97.27,0.010648999999999999,494133,26013.0,rep10,Sp#2 (n=2688)
mSp_rep10_158,0.945622,0.053122,0.707303,9790.0,96.42,0.184474,219819,7984.0,rep10,Sp#2 (n=2688)
mSp_rep10_159,0.946559,0.181014,0.724748,35462.0,96.98,0.0064010000000000004,725866,35235.0,rep10,Sp#2 (n=2688)
mSp_rep10_160,0.943525,0.184331,0.676007,35189.0,96.35,0.040666,702323,33758.0,rep10,Sp#2 (n=2688)
mSp_rep10_161,0.9378569999999999,0.16103,0.749081,28571.0,97.4,0.022645,502803,27924.0,rep10,Sp#2 (n=2688)
mSp_rep10_162,0.9383729999999999,0.17860499999999999,0.737112,34954.0,96.92,0.029582,629339,33920.0,rep10,Sp#2 (n=2688)
mSp_rep10_163,0.9431459999999999,0.146043,0.709807,26186.0,96.98,0.033949,511737,25297.0,rep10,Sp#2 (n=2688)
mSp_rep10_164,0.936366,0.067289,0.668555,11563.0,96.67,0.030527999999999996,201288,11210.0,rep10,Sp#2 (n=2688)
mSp_rep10_165,0.946709,0.19422,0.7168720000000001,38359.0,97.06,0.010062999999999999,788518,37973.0,rep10,Sp#2 (n=2688)
mSp_rep10_166,0.9498690000000001,0.161504,0.744653,31978.0,95.79,0.007599,708906,31735.0,rep10,Sp#2 (n=2688)
mSp_rep10_167,0.9461299999999999,0.206812,0.676508,43678.0,96.66,0.03583,903582,42113.0,rep10,Sp#2 (n=2688)
mSp_rep10_168,0.9421639999999999,0.178477,0.729578,34350.0,96.95,0.024191999999999998,656580,33519.0,rep10,Sp#2 (n=2688)
mSp_rep10_169,0.945269,0.192683,0.738703,37465.0,96.93,0.024102000000000002,751349,36562.0,rep10,Sp#2 (n=2688)
mSp_rep10_170,0.943566,0.16680799999999998,0.73046,30361.0,95.96,0.004414,591921,30227.0,rep10,Sp#2 (n=2688)
mSp_rep10_171,0.947592,0.17536400000000002,0.74435,33231.0,96.94,0.024977000000000003,694959,32401.0,rep10,Sp#2 (n=2688)
mSp_rep10_172,0.9341790000000001,0.124805,0.768241,19818.0,96.99,0.026844,331026,19286.0,rep10,Sp#2 (n=2688)
mSp_rep10_173,0.942961,0.172111,0.7315050000000001,32779.0,97.08,0.029012,632753,31828.0,rep10,Sp#2 (n=2688)
mSp_rep10_174,0.943247,0.185932,0.745333,36803.0,97.35,0.0219,707954,35997.0,rep10,Sp#2 (n=2688)
mSp_rep10_175,0.9459700000000001,0.028745,0.272093,10818.0,95.78,0.012202,221140,10686.0,rep10,Sp#2 (n=2688)
mSp_rep10_176,0.941801,0.168114,0.7607520000000001,30249.0,97.21,0.023075,566936,29551.0,rep10,Sp#2 (n=2688)
mSp_rep10_177,0.938183,0.174788,0.5977779999999999,43077.0,96.99,0.0009289999999999999,753042,43037.0,rep10,Sp#2 (n=2688)
mSp_rep10_178,0.9477180000000001,0.20756799999999997,0.722939,41157.0,96.99,0.022183,860489,40244.0,rep10,Sp#2 (n=2688)
mSp_rep10_179,0.937608,0.22333699999999998,0.662315,47762.0,96.15,0.020791,856995,46769.0,rep10,Sp#2 (n=2688)
mSp_rep10_180,0.942205,0.115005,0.6972970000000001,18832.0,97.03,0.02963,358887,18274.0,rep10,Sp#2 (n=2688)
mSp_rep10_181,0.942583,0.085517,0.7436229999999999,13408.0,97.15,0.075552,264972,12395.0,rep10,Sp#2 (n=2688)
mSp_rep10_182,0.940198,0.159737,0.717835,29123.0,96.77,0.011984,533740,28774.0,rep10,Sp#2 (n=2688)
mSp_rep10_183,0.9451139999999999,0.147824,0.724414,28062.0,96.75,0.009301,559482,27801.0,rep10,Sp#2 (n=2688)
mSp_rep10_184,0.943615,0.214959,0.7004600000000001,47129.0,97.2,0.025802,915887,45913.0,rep10,Sp#2 (n=2688)
mSp_rep10_185,0.939774,0.153703,0.7383149999999999,28391.0,95.34,0.020605000000000002,529404,27806.0,rep10,Sp#2 (n=2688)
mSp_rep10_186,0.9372590000000001,0.142456,0.761185,24921.0,96.61,0.025842,440068,24277.0,rep10,Sp#2 (n=2688)
mSp_rep10_187,0.941372,0.101465,0.720298,17928.0,97.09,0.064703,343812,16768.0,rep10,Sp#2 (n=2688)
mSp_rep10_188,0.9410440000000001,0.18616300000000002,0.687038,38968.0,96.96,0.016166999999999997,722846,38338.0,rep10,Sp#2 (n=2688)
mSp_rep10_189,0.9460870000000001,0.22235,0.677247,46706.0,95.74,0.005053,959783,46470.0,rep10,Sp#2 (n=2688)
mSp_rep10_190,0.949227,0.164271,0.75103,30329.0,96.9,0.016519,653486,29828.0,rep10,Sp#2 (n=2688)
mSp_rep10_191,0.944795,0.175928,0.620566,42259.0,95.24,0.004733,852872,42059.0,rep10,Sp#2 (n=2688)
mSp_rep10_192,0.9423739999999999,0.07874099999999999,0.744659,12170.0,97.36,0.059984,236002,11440.0,rep10,Sp#2 (n=2688)
mSp_rep10_193,0.9381280000000001,0.076704,0.746787,11437.0,96.61,0.035674000000000004,208389,11029.0,rep10,Sp#2 (n=2688)
mSp_rep10_194,0.946852,0.197295,0.717759,39360.0,97.05,0.015066,807737,38767.0,rep10,Sp#2 (n=2688)
mSp_rep10_195,0.949674,0.194528,0.693526,39341.0,96.41,0.014743000000000001,862022,38761.0,rep10,Sp#2 (n=2688)
mSp_rep10_196,0.9332280000000001,0.20941300000000002,0.728935,40339.0,96.95,0.007834,657994,40023.0,rep10,Sp#2 (n=2688)
mSp_rep10_197,0.9437549999999999,0.145275,0.764121,25229.0,97.09,0.033056999999999996,496815,24395.0,rep10,Sp#2 (n=2688)
mSp_rep10_198,0.9444229999999999,0.18198699999999998,0.750737,34923.0,97.26,0.023795,686790,34092.0,rep10,Sp#2 (n=2688)
mSp_rep10_199,0.9463030000000001,0.11864300000000001,0.748613,19466.0,97.25,0.024299,396018,18993.0,rep10,Sp#2 (n=2688)
mSp_rep10_200,0.9394440000000001,0.11496700000000001,0.74778,18918.0,97.06,0.034306,346680,18269.0,rep10,Sp#2 (n=2688)
mSp_rep10_201,0.94983,0.003023,0.8272639999999999,1016.0,96.63,0.602362,28356,404.0,rep10,Sp#2 (n=2688)
mSp_rep10_202,0.9475969999999999,0.169882,0.749634,31450.0,97.07,0.027536,662047,30584.0,rep10,Sp#2 (n=2688)
