,frip,uniq_frags,mt_content,sequencing_depth,dup_level,frac_open,mapping_rate,plate,batch,LSI Dimension 1,LSI Dimension 2,LSI Dimension 3,Bcl11a,Bcl11b,Cd3e,Cd4,Cd8a,Cd19,Ms4a1,Ebf1,Tcf7,Gzma,Lrg1
mSp_rep3_061,0.72615,67961.0,0.020932,1785261,0.9582299999999999,0.28015999999999996,97.0,rep3,Sp#1 (n=960),0.5294098288522003,0.10864425215620382,-0.054127809169339014,22,34,4,13,0,0,0,28,25,0,0
mSp_rep4_230,0.67697,158787.0,0.022302000000000002,4286435,0.9591200000000001,0.413778,97.01,rep4,Sp#1 (n=960),0.5542933753699214,-0.04070089107517142,-0.029923734867613752,112,18,3,2,21,14,26,72,29,0,0
mSp_rep3_330,0.6028479999999999,71583.0,0.010395999999999999,1635281,0.950606,0.267633,94.58,rep3,Sp#1 (n=960),0.4876827548267642,-0.0018978804335245277,-0.03328368205967484,44,9,5,0,0,1,21,12,25,0,0
mSp_rep4_338,0.38159499999999996,146529.0,0.011889,3663574,0.951865,0.291061,91.84,rep4,Sp#1 (n=960),0.502264248606817,0.12184066028713099,-0.029354140624657923,26,22,11,2,9,2,6,22,25,0,0
mSp_rep4_001,0.629942,69413.0,0.026902,1887585,0.958684,0.256693,96.37,rep4,Sp#1 (n=960),0.5090070188720258,0.0880590297741983,-0.04301865524758778,22,20,6,2,5,5,6,15,24,0,0
mSp_rep3_222,0.694861,45000.0,0.029147000000000003,1382701,0.963374,0.20841300000000001,96.22,rep3,Sp#1 (n=960),0.49568409946373065,-0.08574421308832872,-0.014878580928975236,23,2,0,0,0,3,12,30,17,0,0
mSp_rep11_045,0.746848,33821.0,0.048047,825327,0.9530770000000001,0.182794,97.71,rep11,Sp#2 (n=2688),0.4911130967325623,-0.13089142818926394,-0.033044522844942886,35,0,0,0,0,3,5,16,12,0,0
mSp_rep11_330,0.6421279999999999,48672.0,0.012398000000000001,948849,0.943367,0.22186399999999998,96.84,rep11,Sp#2 (n=2688),0.4723988428208241,-0.12095074083250061,-0.013191320474376093,28,0,2,0,0,9,15,47,16,0,0
mSp_rep8_323,0.686189,41498.0,0.009807,746886,0.939566,0.200138,97.39,rep8,Sp#2 (n=2688),0.49174492245523943,-0.11654300260735982,-0.006151914180235568,35,0,0,0,0,6,10,24,13,0,0
mSp_rep4_145,0.6380060000000001,159293.0,0.02394,4092922,0.956838,0.406656,96.8,rep4,Sp#1 (n=960),0.5318683060802445,0.1685045460680101,-0.0010491943101776583,40,41,22,8,9,6,4,17,91,0,0
mSp_rep5_176,0.707888,37899.0,0.009772,694241,0.940357,0.18802,96.9,rep5,Sp#2 (n=2688),0.49559868708915183,-0.12976450386113478,-0.013693094618593036,30,0,2,0,0,4,11,19,12,0,0
mSp_rep4_102,0.7592439999999999,43860.0,0.01945,989983,0.9514239999999999,0.2208,97.19,rep4,Sp#1 (n=960),0.5067129860285797,0.1068442606339864,-0.05774253926774108,19,25,14,2,8,4,1,23,21,0,0
mSp_rep2_063,0.6897949999999999,62587.0,0.03209,1955738,0.9642940000000001,0.27858499999999997,97.23,rep2,Sp#1 (n=960),0.4781384527417515,0.030274274160010595,-0.013798780173935134,28,23,0,0,7,8,10,23,37,0,0
mSp_rep3_351,0.698333,63851.0,0.019261,1358343,0.9481940000000001,0.27262800000000004,96.77,rep3,Sp#1 (n=960),0.46984717697259604,-0.03405231726356187,0.1030018726755018,35,10,1,0,0,3,6,16,30,19,0
mSp_rep3_214,0.741969,62750.0,0.014759,1657190,0.958658,0.264673,96.86,rep3,Sp#1 (n=960),0.5311249495289317,0.08292476223817981,-0.04607944547500931,21,26,4,2,13,7,0,19,26,0,0
mSp_rep4_027,0.691254,87651.0,0.018411,2213437,0.95586,0.289627,96.17,rep4,Sp#1 (n=960),0.527052929402357,0.08320328107305054,0.0002659488530127557,41,26,9,4,0,5,3,16,38,2,0
mSp_rep4_301,0.758973,92724.0,0.020059,2569782,0.9605440000000001,0.325737,97.35,rep4,Sp#1 (n=960),0.5525187053479972,-0.04458080620781764,-0.05297828791566724,65,10,0,4,0,9,18,81,26,0,0
mSp_rep3_226,0.709917,59777.0,0.012766,1749851,0.9627870000000001,0.270476,96.9,rep3,Sp#1 (n=960),0.4903319255668165,0.0868756934725227,-0.050694900713444326,24,12,2,6,0,7,10,13,32,0,0
