study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	sample_title
PRJNA392905	SAMN07311959	SRS2332848	SRX2978956	SRR5799489	10090	Mus musculus	NextSeq 500	PAIRED	ILC3.NKp46+.SI#1
PRJNA392905	SAMN07311958	SRS2332849	SRX2978957	SRR5799490	10090	Mus musculus	NextSeq 500	PAIRED	ILC3.NKp46+.SI#2
PRJNA392905	SAMN07311957	SRS2332850	SRX2978958	SRR5799491	10090	Mus musculus	NextSeq 500	PAIRED	Mo.6C+II-.Bl#1
PRJNA392905	SAMN07311956	SRS2332851	SRX2978959	SRR5799492	10090	Mus musculus	NextSeq 500	PAIRED	Mo.6C+II-.Bl#2
PRJNA392905	SAMN07312118	SRS2332852	SRX2978960	SRR5799493	10090	Mus musculus	NextSeq 500	PAIRED	Mo.6C-II-.Bl#1
PRJNA392905	SAMN07312117	SRS2332853	SRX2978961	SRR5799494	10090	Mus musculus	NextSeq 500	PAIRED	Mo.6C-II-.Bl#2
PRJNA392905	SAMN07312116	SRS2332854	SRX2978962	SRR5799495	10090	Mus musculus	NextSeq 500	PAIRED	MF.226+II+480lo.PC#1
PRJNA392905	SAMN07312115	SRS2332855	SRX2978963	SRR5799496	10090	Mus musculus	NextSeq 500	PAIRED	MF.226+II+480lo.PC#2
PRJNA392905	SAMN07312114	SRS2332856	SRX2978964	SRR5799497	10090	Mus musculus	NextSeq 500	PAIRED	MF.ICAM+480hi.PC#1
PRJNA392905	SAMN07312113	SRS2332857	SRX2978965	SRR5799498	10090	Mus musculus	NextSeq 500	PAIRED	MF.ICAM+480hi.PC#2
PRJNA392905	SAMN07312112	SRS2332858	SRX2978966	SRR5799499	10090	Mus musculus	NextSeq 500	PAIRED	MF.RP.Sp#1
PRJNA392905	SAMN07312111	SRS2332859	SRX2978967	SRR5799500	10090	Mus musculus	NextSeq 500	PAIRED	MF.RP.Sp#2
PRJNA392905	SAMN07312110	SRS2332861	SRX2978968	SRR5799501	10090	Mus musculus	NextSeq 500	PAIRED	DC.8+.Sp#1
PRJNA392905	SAMN07312109	SRS2332860	SRX2978969	SRR5799502	10090	Mus musculus	NextSeq 500	PAIRED	DC.4+.Sp#1
PRJNA392905	SAMN07312108	SRS2332862	SRX2978970	SRR5799503	10090	Mus musculus	NextSeq 500	PAIRED	DC.pDC.Sp#1
PRJNA392905	SAMN07312107	SRS2332863	SRX2978971	SRR5799504	10090	Mus musculus	NextSeq 500	PAIRED	DC.4+.Sp#2
PRJNA392905	SAMN07312106	SRS2332864	SRX2978972	SRR5799505	10090	Mus musculus	NextSeq 500	PAIRED	MF.microglia.CNS#1
PRJNA392905	SAMN07312002	SRS2332865	SRX2978973	SRR5799506	10090	Mus musculus	NextSeq 500	PAIRED	FRC.CD140a+.Madcam-.CD35-.SLN#1
PRJNA392905	SAMN07312001	SRS2332866	SRX2978974	SRR5799507	10090	Mus musculus	NextSeq 500	PAIRED	LEC.SLN#1
PRJNA392905	SAMN07312000	SRS2332867	SRX2978975	SRR5799508	10090	Mus musculus	NextSeq 500	PAIRED	LEC.SLN#2
PRJNA392905	SAMN07311999	SRS2332868	SRX2978976	SRR5799509	10090	Mus musculus	NextSeq 500	PAIRED	BEC.SLN#1
PRJNA392905	SAMN07311998	SRS2332869	SRX2978977	SRR5799510	10090	Mus musculus	NextSeq 500	PAIRED	IAP.SLN#1
PRJNA392905	SAMN07311997	SRS2332870	SRX2978978	SRR5799511	10090	Mus musculus	NextSeq 500	PAIRED	IAP.SLN#2
PRJNA392905	SAMN07311996	SRS2332872	SRX2978979	SRR5799512	10090	Mus musculus	NextSeq 500	PAIRED	B.T1.Sp#2
PRJNA392905	SAMN07311995	SRS2332871	SRX2978980	SRR5799513	10090	Mus musculus	NextSeq 500	PAIRED	B.Fo.Sp#2
PRJNA392905	SAMN07311994	SRS2332873	SRX2978981	SRR5799514	10090	Mus musculus	NextSeq 500	PAIRED	B.T2.Sp#2
PRJNA392905	SAMN07311993	SRS2332874	SRX2978982	SRR5799515	10090	Mus musculus	NextSeq 500	PAIRED	B.MZ.Sp#2
