Data File Name,mSp_scATAC_High Sensitivity DNA Assay_DEDAE00427_2018-02-21_18-47-26.xad
Data File Path,C:\Users\AgilentP302\Documents\Xi\2018-02-21
Date Created,21 February 2018 18:47:25
Date Last Modified,21 February 2018 19:20:12
Version Created,B.02.09.SI725
Version Last Modified,B.02.09.SI725
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,8
 
Sample Name,N1_1_in_5
Number of Events,2121
 
Time,Value
57.5,2.191684
57.55,2.350842
57.6,2.535291
57.65,2.432772
57.7,2.445876
57.75,2.858791
57.8,3.091093
57.85,3.484963
57.9,3.849967
57.95,4.112697
58,4.561792
58.05,5.069088
58.1,5.548006
58.15,5.744756
58.2,6.117798
58.25,7.112977
58.3,8.410295
58.35,9.659581
58.4,10.74209
58.45,11.96043
58.5,13.3128
58.55,15.03683
58.6,16.94489
58.65,19.06046
58.7,21.52349
58.75,24.35946
58.8,27.33504
58.85,30.45099
58.9,33.95458
58.95,37.8239
59,42.01609
59.05,45.93093
59.1,49.8132
59.15,54.12017
59.2,58.77346
59.25,64.16333
59.3,70.17941
59.35,76.87141
59.4,83.99838
59.45,91.9826
59.5,100.3988
59.55,108.1955
59.6,116.2769
59.65,124.4989
59.7,132.618
59.75,140.1688
59.8,147.5304
59.85,153.739
59.9,159.2411
59.95,164.2192
60,168.1475
60.05,171.9908
60.1,175.9819
60.15,180.4801
60.2,184.672
60.25,188.3405
60.3,191.4979
60.35,194.4187
60.4,198.3403
60.45,202.426
60.5,207.0632
60.55,211.2733
60.6,214.9786
60.65,218.381
60.7,220.8146
60.75,223.2148
60.8,224.9661
60.85,226.0629
60.9,226.0314
60.95,224.542
61,223.3859
61.05,222.554
61.1,222.216
61.15,222.3883
61.2,222.314
61.25,222.4709
61.3,222.8221
61.35,223.5285
61.4,224.2591
61.45,225.4906
61.5,225.9746
61.55,225.8605
61.6,225.8343
61.65,224.8524
61.7,223.923
61.75,223.5748
61.8,222.5606
61.85,220.9297
61.9,218.95
61.95,216.8951
62,215.6403
62.05,215.1871
62.1,213.9993
62.15,212.508
62.2,211.2794
62.25,209.9063
62.3,208.4001
62.35,207.6203
62.4,207.0952
62.45,207.3287
62.5,208.1509
62.55,208.7974
62.6,208.4023
62.65,206.2835
62.7,203.6761
62.75,201.0223
62.8,199.0747
62.85,196.9221
62.9,194.4557
62.95,191.6911
63,189.5554
63.05,188.639
63.1,187.9956
63.15,186.5768
63.2,184.7874
63.25,183.5076
63.3,183.4039
63.35,183.8688
63.4,183.6618
63.45,181.7199
63.5,179.0615
63.55,177.1788
63.6,175.5117
63.65,173.7626
63.7,171.4942
63.75,169.4151
63.8,166.9123
63.85,164.6021
63.9,162.5447
63.95,160.5033
64,158.5514
64.05,157.0769
64.1,156.6432
64.15,155.7769
64.2,154.7714
64.25,153.4412
64.3,152.3345
64.35,151.0533
64.4,149.6272
64.45,148.1892
64.5,146.1791
64.55,143.8068
64.6,141.6579
64.65,140.2161
64.7,139.3512
64.75,138.7283
64.8,137.7037
64.85,135.2576
64.9,132.5493
64.95,130.823
65,129.6304
65.05,128.7236
65.1,127.459
65.15,125.7377
65.2,124.5754
65.25,124.0853
65.3,123.2266
65.35,122.1355
65.4,121.4734
65.45,120.9935
65.5,120.1184
65.55,118.9937
65.6,117.0715
65.65,115.707
65.7,115.115
65.75,114.7699
65.8,113.9238
65.85,111.9813
65.9,110.0548
65.95,108.5997
66,107.6357
66.05,106.5664
66.1,105.4958
66.15,104.2959
66.2,103.4737
66.25,103.3454
66.3,103.0374
66.35,102.61
66.4,101.7221
66.45,100.3163
66.5,98.89114
66.55,97.9785
66.6,97.4212
66.65,97.17816
66.7,96.9549
66.75,95.70687
66.8,94.22195
66.85,92.90401
66.9,91.81551
66.95,91.31751
67,91.0646
67.05,91.05736
67.1,90.75137
67.15,90.00336
67.2,88.64008
67.25,87.59306
67.3,87.16543
67.35,86.94591
67.4,86.87089
67.45,86.19363
67.5,85.74279
67.55,84.81619
67.6,84.21677
67.65,84.20045
67.7,84.14302
67.75,84.0921
67.8,83.85892
67.85,83.86858
67.9,83.66139
67.95,83.1346
68,82.34993
68.05,81.2951
68.1,80.83766
68.15,81.10324
68.2,82.20802
68.25,82.76573
68.3,82.75248
68.35,82.59587
68.4,82.53362
68.45,82.53672
68.5,82.88659
68.55,83.81242
68.6,83.86282
68.65,83.78391
68.7,82.50053
68.75,81.6562
68.8,81.70222
68.85,82.90369
68.9,84.27023
68.95,85.38465
69,85.83157
69.05,85.27258
69.1,85.32078
69.15,85.9951
69.2,86.93366
69.25,87.99483
69.3,89.09365
69.35,89.437
69.4,89.46303
69.45,89.98941
69.5,91.1161
69.55,92.25729
69.6,93.31996
69.65,93.81763
69.7,94.1972
69.75,94.87849
69.8,96.18777
69.85,97.57836
69.9,98.47859
69.95,99.6091
70,100.8811
70.05,101.881
70.1,102.5456
70.15,103.7415
70.2,105.3278
70.25,107.2223
70.3,108.9659
70.35,110.891
70.4,112.4421
70.45,114.8753
70.5,117.5153
70.55,119.4368
70.6,121.275
70.65,123.7685
70.7,126.5018
70.75,129.0016
70.8,130.7713
70.85,131.5508
70.9,132.4214
70.95,134.3542
71,136.6585
71.05,138.98
71.1,141.2507
71.15,142.4726
71.2,143.8625
71.25,145.0956
71.3,147.0793
71.35,148.5137
71.4,149.7147
71.45,150.819
71.5,152.0159
71.55,153.5033
71.6,155.1851
71.65,156.7349
71.7,156.9865
71.75,157.0309
71.8,157.1329
71.85,157.2708
71.9,158.1473
71.95,159.515
72,160.0564
72.05,160.9677
72.1,161.8272
72.15,161.9008
72.2,161.217
72.25,160.8864
72.3,160.6622
72.35,161.4924
72.4,163.0863
72.45,164.1694
72.5,164.6036
72.55,164.2941
72.6,163.9554
72.65,164.921
72.7,167.4599
72.75,169.0389
72.8,170.1127
72.85,170.3298
72.9,169.501
72.95,169.7478
73,171.3461
73.05,173.3104
73.1,175.1616
73.15,176.6989
73.2,176.8955
73.25,176.3703
73.3,176.1174
73.35,176.5646
73.4,177.674
73.45,179.019
73.5,180.374
73.55,181.9917
73.6,184.0817
73.65,186.2377
73.7,187.6453
73.75,188.2384
73.8,188.6248
73.85,189.0156
73.9,189.7421
73.95,190.941
74,192.4486
74.05,194.1819
74.1,195.4952
74.15,195.5177
74.2,195.7047
74.25,196.5005
74.3,197.7986
74.35,199.3858
74.4,200.4579
74.45,200.4524
74.5,200.3316
74.55,200.2409
74.6,200.2758
74.65,201.1371
74.7,202.2459
74.75,203.1266
74.8,203.076
74.85,203.1779
74.9,202.8463
74.95,202.2747
75,202.0905
75.05,201.7342
75.1,201.8965
75.15,202.7087
75.2,203.8627
75.25,203.5424
75.3,202.9198
75.35,201.9313
75.4,201.4211
75.45,201.1762
75.5,200.5541
75.55,200.0416
75.6,200.2618
75.65,201.2926
75.7,201.2212
75.75,200.7727
75.8,199.6447
75.85,198.5804
75.9,198.435
75.95,199.2436
76,199.623
76.05,198.4307
76.1,196.5647
76.15,194.0494
76.2,191.5999
76.25,191.0921
76.3,190.7766
76.35,189.9547
76.4,190.0248
76.45,189.481
76.5,188.5978
76.55,187.9322
76.6,186.8743
76.65,184.9488
76.7,182.9739
76.75,181.7635
76.8,180.5181
76.85,179.2532
76.9,178.0106
76.95,176.3607
77,174.4774
77.05,172.5838
77.1,171.4981
77.15,170.7818
77.2,169.5131
77.25,167.905
77.3,165.6809
77.35,164.198
77.4,163.0892
77.45,162.5071
77.5,162.1634
77.55,160.564
77.6,159.2433
77.65,158.349
77.7,157.9174
77.75,157.05
77.8,156.2423
77.85,154.7349
77.9,152.9342
77.95,151.9179
78,151.0256
78.05,149.6702
78.1,148.5204
78.15,146.8364
78.2,144.6975
78.25,143.5859
78.3,142.623
78.35,141.6195
78.4,140.9049
78.45,140.721
78.5,139.4472
78.55,139.0416
78.6,138.6289
78.65,137.3647
78.7,136.8955
78.75,136.3403
78.8,135.0183
78.85,133.3732
78.9,132.6663
78.95,131.499
79,131.1992
79.05,131.2669
79.1,129.8491
79.15,128.0419
79.2,126.7173
79.25,125.882
79.3,125.2138
79.35,124.8259
79.4,124.2556
79.45,123.3351
79.5,123.2233
79.55,123.839
79.6,124.1563
79.65,124.6767
79.7,125.1082
79.75,124.6473
79.8,122.9395
79.85,121.6744
79.9,120.2558
79.95,119.3596
80,120.4935
80.05,122.0748
80.1,122.1611
80.15,122.5142
80.2,122.625
80.25,121.8315
80.3,120.9825
80.35,120.7968
80.4,120.4594
80.45,120.1185
80.5,121.406
80.55,121.9968
80.6,121.4213
80.65,120.3914
80.7,120.2677
80.75,120.6053
80.8,121.1662
80.85,122.2933
80.9,122.1862
80.95,122.0025
81,121.8958
81.05,122.139
81.1,122.2081
81.15,122.1336
81.2,121.8938
81.25,121.2969
81.3,121.7101
81.35,122.6866
81.4,123.7
81.45,124.6966
81.5,125.179
81.55,124.8828
81.6,125.0435
81.65,125.669
81.7,126.2854
81.75,126.7266
81.8,127.2354
81.85,127.6755
81.9,127.5878
81.95,128.0096
82,128.7284
82.05,130.0206
82.1,131.6831
82.15,133.4612
82.2,134.4674
82.25,134.5878
82.3,134.762
82.35,135.1826
82.4,136.2347
82.45,137.1565
82.5,138.7962
82.55,140.5725
82.6,141.5936
82.65,142.7494
82.7,143.6836
82.75,144.0429
82.8,144.5566
82.85,145.9209
82.9,146.7136
82.95,147.1869
83,148.7467
83.05,150.2694
83.1,151.3544
83.15,151.866
83.2,152.2079
83.25,152.286
83.3,153.5815
83.35,156.0382
83.4,158.3392
83.45,159.9631
83.5,160.8202
83.55,161.435
83.6,162.6078
83.65,164.3027
83.7,165.0512
83.75,165.7035
83.8,166.882
83.85,168.6684
83.9,170.6865
83.95,172.898
84,174.4672
84.05,175.0474
84.1,175.5742
84.15,176.3398
84.2,176.9656
84.25,178.3369
84.3,180.419
84.35,181.7783
84.4,181.2969
84.45,181.3584
84.5,182.4531
84.55,184.2967
84.6,186.1848
84.65,187.5179
84.7,188.2531
84.75,189.2398
84.8,190.5814
84.85,191.3463
84.9,193.2617
84.95,195.0934
85,197.0956
85.05,199.2581
85.1,200.688
85.15,200.9093
85.2,201.6933
85.25,204.2824
85.3,205.5636
85.35,205.5057
85.4,205.7833
85.45,205.9769
85.5,206.3365
85.55,206.471
85.6,207.1036
85.65,208.0204
85.7,209.9863
85.75,212.4777
85.8,214.1949
85.85,214.7626
85.9,214.5957
85.95,216.3216
86,217.607
86.05,217.0703
86.1,216.1899
86.15,216.09
86.2,216.1402
86.25,216.7096
86.3,217.9304
86.35,217.6658
86.4,216.1258
86.45,214.5423
86.5,213.2441
86.55,212.1664
86.6,212.0738
86.65,213.2811
86.7,215.1853
86.75,215.4053
86.8,213.59
86.85,211.1362
86.9,208.6365
86.95,206.4744
87,205.5749
87.05,205.9786
87.1,205.9965
87.15,204.6403
87.2,203.4235
87.25,201.72
87.3,199.5932
87.35,198.598
87.4,198.4445
87.45,197.6057
87.5,197.3577
87.55,197.0251
87.6,195.9243
87.65,194.4535
87.7,192.5304
87.75,189.9947
87.8,188.6488
87.85,189.2332
87.9,189.1054
87.95,188.4758
88,186.6748
88.05,184.237
88.1,182.1523
88.15,180.1088
88.2,178.5195
88.25,176.7184
88.3,175.5472
88.35,174.9938
88.4,175.1663
88.45,174.5581
88.5,173.1048
