Data File Name,mSp_scATAC_High Sensitivity DNA Assay_DEDAE00427_2018-02-21_18-47-26.xad
Data File Path,C:\Users\AgilentP302\Documents\Xi\2018-02-21
Date Created,21 February 2018 18:47:25
Date Last Modified,21 February 2018 19:20:12
Version Created,B.02.09.SI725
Version Last Modified,B.02.09.SI725
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,8
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
53.05,0.9070957
53.1,0.9673346
53.15,0.8580581
53.2,0.784448
53.25,0.9267148
53.3,1.127651
53.35,0.9908757
53.4,0.9165096
53.45,0.9042478
53.5,0.8673014
53.55,0.9423945
53.6,0.9379818
53.65,0.9869277
53.7,0.9633446
53.75,1.098025
53.8,1.092198
53.85,1.073847
53.9,1.134706
53.95,1.038302
54,0.997652
54.05,0.899027
54.1,0.9062603
54.15,0.9905952
54.2,1.051717
54.25,1.076361
54.3,0.9862165
54.35,1.150224
54.4,1.33804
54.45,1.277
54.5,1.166423
54.55,0.9973972
54.6,0.9587723
54.65,0.9982748
54.7,1.128732
54.75,1.079852
54.8,0.9121901
54.85,1.032345
54.9,1.146084
54.95,1.284165
55,1.299937
55.05,1.265324
55.1,1.16161
55.15,1.028541
55.2,1.264768
55.25,1.49658
55.3,1.556531
55.35,1.518745
55.4,1.668693
55.45,2.920601
55.5,7.084478
55.55,17.81629
55.6,40.86999
55.65,78.18804
55.7,127.5776
55.75,179.9027
55.8,220.3308
55.85,235.8606
55.9,220.1817
55.95,177.0939
56,123.4454
56.05,75.61024
56.1,41.55064
56.15,22.52001
56.2,13.73132
56.25,9.98188
56.3,8.363275
56.35,7.017882
56.4,6.025716
56.45,5.421778
56.5,4.9497
56.55,4.515015
56.6,4.174231
56.65,3.962727
56.7,3.57169
56.75,3.224212
56.8,2.918798
56.85,2.679457
56.9,2.517875
56.95,2.231139
57,2.220641
57.05,2.149201
57.1,2.09483
57.15,1.927682
57.2,1.817021
57.25,1.841135
57.3,1.790765
57.35,1.682303
57.4,1.646389
57.45,1.580781
57.5,1.63744
57.55,1.65415
57.6,1.531918
57.65,1.233498
57.7,1.069452
57.75,1.199167
57.8,1.388255
57.85,1.463359
57.9,1.413191
57.95,1.351595
58,1.164842
58.05,1.125952
58.1,1.346629
58.15,1.544798
58.2,1.48405
58.25,1.436436
58.3,1.304602
58.35,1.290152
58.4,1.305106
58.45,1.320791
58.5,1.310865
58.55,1.307028
58.6,1.542067
58.65,1.627573
58.7,1.684969
58.75,1.474009
58.8,1.372378
58.85,1.354474
58.9,1.337189
58.95,1.514425
59,1.659151
59.05,1.609432
59.1,1.506239
59.15,1.46622
59.2,1.403023
59.25,1.290879
59.3,1.314384
59.35,1.304466
59.4,1.150013
59.45,1.210129
59.5,1.320355
59.55,1.392054
59.6,1.202961
59.65,1.182783
59.7,1.321769
59.75,1.368436
59.8,1.389781
59.85,1.433834
59.9,1.381203
59.95,1.352134
60,1.475373
60.05,1.33204
60.1,1.246205
60.15,1.572814
60.2,3.471238
60.25,9.26713
60.3,22.57706
60.35,47.59308
60.4,88.39501
60.45,141.3595
60.5,196.7935
60.55,239.9739
60.6,258.8098
60.65,246.4019
60.7,205.1262
60.75,151.5565
60.8,100.9057
60.85,61.99258
60.9,37.66682
60.95,25.3248
61,19.54801
61.05,16.89479
61.1,15.06225
61.15,13.3547
61.2,11.64402
61.25,10.28529
61.3,9.397548
61.35,8.597239
61.4,7.919648
61.45,7.160697
61.5,6.423874
61.55,5.566225
61.6,4.708375
61.65,4.048623
61.7,3.876103
61.75,3.99694
61.8,3.853818
61.85,3.666279
61.9,3.279185
61.95,2.867803
62,2.77593
62.05,2.583298
62.1,2.472235
62.15,2.394439
62.2,2.387104
62.25,2.268712
62.3,2.128416
62.35,2.024992
62.4,2.047744
62.45,2.166893
62.5,1.988471
62.55,1.770095
62.6,1.717208
62.65,1.626979
62.7,1.624429
62.75,1.645001
62.8,1.583527
62.85,1.528213
62.9,1.556328
62.95,1.57615
63,1.370201
63.05,1.221337
63.1,1.400068
63.15,1.272942
63.2,1.10359
63.25,1.063908
63.3,1.12977
63.35,1.083846
63.4,1.172286
63.45,1.315064
63.5,1.269228
63.55,1.278286
63.6,1.300943
63.65,1.106418
63.7,1.018765
63.75,1.252516
63.8,1.407919
63.85,1.425495
63.9,1.198444
63.95,1.054182
64,1.076899
64.05,1.306172
64.1,1.302604
64.15,1.189086
64.2,1.08191
64.25,1.060224
64.3,1.195071
64.35,1.38091
64.4,1.266131
64.45,1.030326
64.5,0.7821059
64.55,0.7305783
64.6,0.7820454
64.65,0.8639784
64.7,0.9868914
64.75,0.9244617
64.8,0.8014959
64.85,0.8160799
64.9,0.9667826
64.95,1.052384
65,1.153103
65.05,1.26637
65.1,1.280148
65.15,1.20017
65.2,1.12046
65.25,1.155577
65.3,1.133639
65.35,1.175505
65.4,1.154606
65.45,1.196544
65.5,1.13885
65.55,1.112159
65.6,1.017302
65.65,0.8245816
65.7,0.7757947
65.75,0.7488668
65.8,0.8787686
65.85,0.9197499
65.9,0.9158962
65.95,0.9996555
66,1.000729
66.05,0.9332245
66.1,0.9116034
66.15,0.9601222
66.2,0.9748025
66.25,0.9155166
66.3,0.8603336
66.35,0.7778523
66.4,0.8200927
66.45,0.9512695
66.5,0.9166107
66.55,0.8569271
66.6,0.7829865
66.65,0.7762043
66.7,0.8055295
66.75,0.8945996
66.8,0.8961329
66.85,0.8790371
66.9,0.8373033
66.95,0.7641603
67,0.6845672
67.05,0.5751904
67.1,0.5362706
67.15,0.500579
67.2,0.6658313
67.25,0.8174996
67.3,0.9796262
67.35,0.8880477
67.4,0.7323139
67.45,0.6970814
67.5,0.6178265
67.55,0.7033347
67.6,0.7349669
67.65,0.6514918
67.7,0.674025
67.75,0.8847782
67.8,1.02476
67.85,0.89131
67.9,0.9605856
67.95,0.9233859
68,0.7773196
68.05,0.6583339
68.1,0.4636016
68.15,0.3366751
68.2,0.3393129
68.25,0.4496185
68.3,0.4092367
68.35,0.4780695
68.4,0.5803613
68.45,0.5455493
68.5,0.4621281
68.55,0.3001141
68.6,0.1692447
68.65,0.1854729
68.7,0.2175913
68.75,0.2385036
68.8,0.344459
68.85,0.4263137
68.9,0.3900135
68.95,0.3499856
69,0.1971813
69.05,0.136657
69.1,0.412175
69.15,0.5977533
69.2,0.7383901
69.25,0.7361081
69.3,0.626919
69.35,0.6080928
69.4,1.058538
69.45,2.380579
69.5,6.515114
69.55,17.33211
69.6,39.03599
69.65,74.35696
69.7,123.3184
69.75,181.8388
69.8,240.7217
69.85,285.9854
69.9,303.3616
69.95,291.0448
70,253.5069
70.05,201.1957
70.1,146.5663
70.15,99.66344
70.2,65.31221
70.25,44.17977
70.3,31.66748
70.35,24.45266
70.4,19.80241
70.45,16.72691
70.5,14.46234
70.55,12.7057
70.6,11.2778
70.65,10.18101
70.7,8.974069
70.75,7.819068
70.8,6.785835
70.85,5.885305
70.9,5.285709
70.95,4.734362
71,4.145079
71.05,3.546744
71.1,3.206937
71.15,3.012091
71.2,2.787072
71.25,2.468209
71.3,2.352797
71.35,2.278027
71.4,2.254806
71.45,2.219568
71.5,2.134059
71.55,1.916167
71.6,1.543044
71.65,1.40428
71.7,1.332003
71.75,1.28118
71.8,1.284302
71.85,1.377161
71.9,1.174487
71.95,0.9400026
72,0.9232457
72.05,0.864661
72.1,0.7878148
72.15,0.7392061
72.2,0.6497747
72.25,0.5542712
72.3,0.4996106
72.35,0.4050573
72.4,0.3554082
72.45,0.4340251
72.5,0.530394
72.55,0.5806041
72.6,0.4794275
72.65,0.3633974
72.7,0.2610582
72.75,0.239443
