Data File Name,mSp_scATAC_High Sensitivity DNA Assay_DEDAE00427_2018-04-22_14-42-26.xad
Data File Path,C:\Users\AgilentP302\Documents\Xi\2018-04-22
Date Created,22 April 2018 13:42:26
Date Last Modified,22 April 2018 14:22:51
Version Created,B.02.09.SI725
Version Last Modified,B.02.09.SI725
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
36.75,0.1200508
36.8,0.1485176
36.85,0.1818305
36.9,0.2016854
36.95,0.1901276
37,0.1518764
37.05,9.763988E-02
37.1,1.297743E-02
37.15,-8.052102E-02
37.2,-0.1442145
37.25,-0.1458232
37.3,-0.1847784
37.35,-8.216965E-02
37.4,-1.793552E-02
37.45,-6.494392E-03
37.5,-9.053902E-04
37.55,4.043867E-02
37.6,-3.690273E-03
37.65,9.851822E-03
37.7,1.166238E-02
37.75,1.037359E-02
37.8,-3.803806E-02
37.85,-2.584902E-02
37.9,1.323112E-02
37.95,-1.126123E-02
38,-0.1009898
38.05,-0.1080232
38.1,-2.982731E-02
38.15,3.446558E-02
38.2,9.351423E-02
38.25,8.359631E-02
38.3,9.544037E-03
38.35,-8.007516E-02
38.4,-4.757094E-02
38.45,6.350975E-02
38.5,8.506767E-02
38.55,2.69196E-05
38.6,-9.204491E-02
38.65,-0.1781515
38.7,-0.2154053
38.75,-0.1254582
38.8,-0.1298331
38.85,-0.1195469
38.9,-6.764182E-02
38.95,-0.1693448
39,-0.2239564
39.05,-0.3357255
39.1,-0.3156141
39.15,-0.3295749
39.2,-0.3718087
39.25,-0.3401851
39.3,-0.3183495
39.35,-0.3150133
39.4,-0.3589603
39.45,-0.3675236
39.5,-0.3497033
39.55,-0.3845898
39.6,-0.4157639
39.65,-0.4310955
39.7,-0.5258707
39.75,-0.6612108
39.8,-0.722001
39.85,-0.7395803
39.9,-0.7402684
39.95,-0.7422473
40,-0.7761294
40.05,-0.7059477
40.1,-0.7984284
40.15,-0.6923495
40.2,-0.7768961
40.25,-0.7709405
40.3,-0.7716141
40.35,-0.8375837
40.4,-0.765654
40.45,-0.707928
40.5,-0.742221
40.55,-0.7245727
40.6,-0.7781667
40.65,-0.7783777
40.7,-0.8253737
40.75,-0.8234857
40.8,-0.789138
40.85,-0.7764655
40.9,-0.7731165
40.95,-0.7835533
41,-0.827944
41.05,-0.8337542
41.1,-0.8152705
41.15,-0.8345065
41.2,-0.8950624
41.25,-0.9327323
41.3,-0.9584847
41.35,-0.9988222
41.4,-0.9319675
41.45,-0.8800489
41.5,-0.8451477
41.55,-0.7918071
41.6,-0.6974719
41.65,-0.7287968
41.7,-0.822292
41.75,-0.9335983
41.8,-0.942804
41.85,-0.9445854
41.9,-0.9626309
41.95,-0.9536993
42,-0.9497774
42.05,-0.9962761
42.1,-0.9944593
42.15,-0.9878404
42.2,-0.9828438
42.25,-0.9553139
42.3,-0.9078179
42.35,-0.8512102
42.4,-0.848461
42.45,-0.7813785
42.5,-0.4061437
42.55,0.7935417
42.6,3.545749
42.65,8.875577
42.7,18.00222
42.75,31.65263
42.8,49.17028
42.85,68.19321
42.9,84.97638
42.95,95.75569
43,97.15082
43.05,88.47524
43.1,72.23336
43.15,52.92908
43.2,34.40659
43.25,19.71211
43.3,9.928709
43.35,4.367564
43.4,1.579981
43.45,0.4383441
43.5,5.989639E-02
43.55,-5.236918E-02
43.6,-0.1524447
43.65,-0.1917311
43.7,-0.2207306
43.75,-0.2166927
43.8,-0.1855193
43.85,-0.1538129
43.9,-0.235642
43.95,-0.4443447
44,-0.5828313
44.05,-0.6415263
44.1,-0.6806542
44.15,-0.7621478
44.2,-0.8716025
44.25,-0.9166306
44.3,-0.8662874
44.35,-0.8874748
44.4,-0.8513493
44.45,-0.9378236
44.5,-0.9093094
44.55,-0.8005826
44.6,-0.7336608
44.65,-0.7377361
44.7,-0.7847733
44.75,-0.843621
44.8,-0.6709386
44.85,-7.657142E-02
44.9,1.61608
44.95,5.636523
45,13.72586
45.05,27.84476
45.1,48.76695
45.15,75.15479
45.2,102.8185
45.25,125.133
45.3,136.0085
45.35,132.0513
45.4,114.4133
45.45,88.01568
45.5,59.86019
