cell	sequencing_depth
SRR1781182	378373
SRR1781183	205888
SRR1781184	88758
SRR1781185	124706
SRR1781186	7534
SRR1781187	78819
SRR1781188	159605
SRR1781189	24499
SRR1781190	38284
SRR1781191	75175
SRR1781192	144343
SRR1781193	107792
SRR1781194	105675
SRR1781195	203615
SRR1781196	225918
SRR1781197	92419
SRR1781198	217154
SRR1781199	174266
SRR1781200	271590
SRR1781201	165083
SRR1781202	192022
SRR1781203	78809
SRR1781204	270147
SRR1781205	371598
SRR1781206	154495
SRR1781207	155952
SRR1781208	9628
SRR1781209	23578
SRR1781210	729651
SRR1781211	239700
SRR1781212	220152
SRR1781213	145882
SRR1781214	151082
SRR1781215	239583
SRR1781216	167082
SRR1781217	201319
SRR1781218	273118
SRR1780163	277497
SRR1780164	52684
SRR1780165	528671
SRR1780166	197134
SRR1780167	501832
SRR1780168	249845
SRR1780169	282659
SRR1780170	51629
SRR1780171	478551
SRR1780172	121883
SRR1780173	1436515
SRR1780174	272326
SRR1780175	592133
SRR1780176	128732
SRR1780177	1408338
SRR1780178	330506
SRR1780179	777284
SRR1780180	181276
SRR1780181	531977
SRR1780182	104772
SRR1780183	706694
SRR1780184	110233
SRR1780185	427676
SRR1780186	166045
SRR1780187	513494
SRR1780188	89812
SRR1780189	117988
SRR1780190	81881
SRR1780191	297733
SRR1780192	59380
SRR1780193	730116
SRR1780194	105579
SRR1780195	375082
SRR1780196	38439
SRR1780197	373464
SRR1780198	61788
SRR1780199	581611
SRR1780200	65711
SRR1780201	257256
SRR1780202	32890
SRR1780203	210838
SRR1780204	64095
SRR1780205	465993
SRR1780206	37625
SRR1780207	505348
SRR1780208	82924
SRR1780209	480992
SRR1780210	37793
SRR1780211	491669
SRR1780212	97872
SRR1780213	454689
SRR1780214	111242
SRR1780215	697699
SRR1780216	291863
SRR1780217	582099
SRR1780218	114936
SRR1780219	546636
SRR1780220	134200
SRR1780221	629846
SRR1780222	153489
SRR1780223	776485
SRR1780224	117472
SRR1780225	711989
SRR1780226	122879
SRR1780227	550384
SRR1780228	114578
SRR1780229	701476
SRR1780230	105694
SRR1780231	899652
SRR1780232	163667
SRR1780233	716200
SRR1780234	141409
SRR1780235	470617
SRR1780236	178884
