cell	sequencing_depth
mouse_skin_fibr_368	360077
mouse_skin_fibr_369	31636
mouse_skin_fibr_370	865611
mouse_skin_fibr_371	298556
mouse_skin_fibr_372	1257062
mouse_skin_fibr_373	240040
mouse_skin_fibr_374	469708
mouse_skin_fibr_375	1453596
mouse_skin_fibr_376	1281997
mouse_skin_fibr_377	451995
mouse_skin_fibr_378	525245
mouse_skin_fibr_379	360505
mouse_skin_fibr_380	556183
mouse_skin_fibr_381	372188
mouse_skin_fibr_382	830151
mouse_skin_fibr_383	249580
mouse_skin_fibr_384	300
